n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3643.4,3780.7,3922.7,4070.1,4217.9,4369.2,4511.2,4649.6,4762.7,NaN,4949.4,5085.9,5296.4,NaN,5373,5554.1,NaN,5743.9,5889.2,6072.9,NaN,6176.5,6356.3,NaN,6543.6,6685.6,6872.2,NaN,6975.4,7164.9,7308.7,7418,7583.2,NaN,7771.2,7911.4,8108.2,NaN,8206.3,8388.3,NaN,8573.6,8718.8,8897,9052.9,9161.1,9344.4,NaN,9535.2,9681.1,9878,NaN,9974.6,10162,NaN,10354,10500,10695,NaN,10798,10998,11144,11250,11432,NaN,11623,11768,11969,NaN,12065,12256,NaN,12450,12604,12836,12983,13102,13306,NaN,13494,13639,13793,NaN,13941,14134,NaN,14330,14484,14841,14983,15130,15274,15382,NaN,15575,15724,15936,NaN,16040,16258,16426,16534,16725,NaN,16917,17066
3682.2,3820.8,3974.1,4124.1,4287.3,4438.8,4585.5,4722.9,NaN,4907.6,5049.6,5169.5,NaN,5346.3,5446.8,NaN,5698.7,5843.2,5972.4,NaN,6144.5,6251.2,NaN,6497.3,6644.7,6768.2,NaN,6947.3,7050.4,7239.8,7381.5,7490.8,NaN,7727.3,7872.6,7995.2,NaN,8173.9,8280.5,NaN,8535,8677.9,8801.7,8971.8,9124.7,9237.8,NaN,9487.4,9641.2,9765.9,NaN,9946.4,10051,NaN,10309,10456,10583,NaN,10767,10877,11076,11215,11328,NaN,11581,11731,11850,NaN,12034,12144,NaN,12403,12558,12690,12913,13059,13212,NaN,13454,13597,13739,NaN,13905,14039,NaN,14283,14434,14571,14916,15059,15205,15351,NaN,15520,15679,15808,NaN,16005,16121,16334,16498,16637,NaN,16875,17021,17156
