n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2117,2215,3083,3236,3376.8,3526.6,3671.2,3783.8,NaN,3972.8,4112.7,4321.4,NaN,4401.2,4582.4,NaN,4773.8,4919.1,5130.3,NaN,5214.4,5406.2,5551,5655.8,5836.7,NaN,6028.5,6176.6,6391.2,NaN,6472.1,6651.7,NaN,6846.9,6999.1,7199.9,7346.7,7450,7650.2,NaN,7843.5,7996.6,8155.8,8316.3,8424.7,8607.8,NaN,8805.6,8966.2,9165.6,9312.2,9419.9,9620.6,NaN,9816.4,9974.9
2163.8,2361.2,3122.7,3291.8,3449.6,3600.7,3748.4,NaN,3930.1,4065.2,4195.2,NaN,4369.5,4469.2,NaN,4728.2,4870.2,5001.1,NaN,5178.9,5288.3,5480.9,5624.5,5733.2,NaN,5983.4,6122.3,6260.5,NaN,6440.8,6548.2,NaN,6800.3,6939.5,7079.2,7282.2,7419.5,7526.2,NaN,7799.7,7946.2,8080.9,8230.8,8390.7,8505.8,NaN,8758,8888.1,9046.5,9242.9,9385.9,9508.8,NaN,9771.8,9896.6,10057
