n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3098.8,3302.8,3463.6,3605.3,3749,3897,4029.5,NaN,4207.3,4347.7,4556.9,NaN,4638.2,4833.3,NaN,5023,5164.6,5372.8,NaN,5454.1,5645.8,NaN,5833,5983.8,6207.3,6352.7,6457.5,6639.6,NaN,6828.5,6971.9,7185.6,NaN,7261.5,7452.7,NaN,7643.5,7787.8,8014.2,8160.2,8260.5,8440.2,NaN,8629.8,8774.8,8985.8,NaN,9066.6,9257.9,NaN,9450,9594.7,9810,NaN,9890.5,10074,NaN,10264,10410,10599,11076,11212,11354,11458,NaN,11648,11796,12009,NaN,12087,12268,NaN,12461,12609,12828,NaN,12910,13109,NaN,13302,13450,13668,NaN,13747,13961,14115,14227,14425,NaN,14618,14773,15299,15433,15577,15684,NaN,15877,16021,16239,NaN,16319,16518,NaN,16709,16864,17137,17284,17390,17585,NaN,17780,17933,18405,18544,18661,18847,NaN,19033,21673,21995,22154,22318,22480,22652,22864,23005,23146,23294,23404,NaN,23596,23742,23954,NaN,24034,24208,NaN,24399,24544,24765,NaN,24846,25031,NaN,25224,25376,25547,25699,25799,25995,NaN,26189,26336,26497,NaN,26640,26835,NaN,27035,27188
3132.1,3350.9,3526.5,3682.2,3824.4,3973.4,NaN,4162.7,4305.2,4429.9,NaN,4606.1,4710.6,NaN,4978.7,5122.2,5247.6,NaN,5422.1,5528.1,NaN,5788.9,5939.3,6068.1,6280.3,6426.5,6531.8,NaN,6783.5,6925.8,7052.3,NaN,7234.6,7334.6,NaN,7594.5,7744.7,7873.1,8086.5,8234.4,8336.3,NaN,8584.3,8726.7,8857.2,NaN,9037.7,9141.5,NaN,9403,9555.1,9675.1,NaN,9858.3,9963.3,NaN,10219,10360,10498,10637,11139,11287,11423,NaN,11595,11756,11877,NaN,12058,12162,NaN,12414,12565,12692,NaN,12881,12985,NaN,13253,13403,13534,NaN,13717,13829,14033,14191,14327,NaN,14569,14722,14856,15364,15512,15652,NaN,15822,15972,16105,NaN,16286,16395,NaN,16664,16806,16948,17243,17366,17479,NaN,17735,17876,18016,18471,18621,18754,NaN,19015,19102,21723,22040,22218,22380,22530,22706,22926,23082,23228,23374,NaN,23539,23701,23827,NaN,24004,24115,NaN,24356,24505,24629,NaN,24813,24921,NaN,25182,25331,25462,25624,25778,25898,NaN,26132,26286,26423,NaN,26604,26734,NaN,26986,27120,27272
