n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2319.9,2467.8,2667.4,2825.1,2982.8,3127,3276.8,3420.3,3529.8,NaN,3718.2,3864.7,4073.3,NaN,4153.1,4340.5,NaN,4534.5,4685.3,4899.3,NaN,4979.2,5173.1,NaN,5371.5,5523.2,5685.5,NaN,5830.4,6029.7,6176,6277.3,6460.4,NaN,6660.5,6818.4,6972.2,NaN,7120.4,7342.5,7492.8,7643.8,7753.5,NaN,7951.1,8107.4,8363.9,8507.3,8606,8794.6,NaN,8996.2,9148.6,9347.9,9517.9,9623,9814.9,NaN,10014,10183,10399,NaN,10485,10685,NaN,10887,11038,11264,NaN,11376,11565,NaN,11765,11937,12142,12301,12408,12609,NaN,12810,12973,13134,NaN,13286,13478,NaN,13682,13844,14011,14167,14279,14477,NaN,14691,14847
2355.2,2522.1,2720.7,2884.2,3046.1,3204.8,3348.8,3493.9,NaN,3670.8,3808.6,3945.5,NaN,4123.4,4221.7,NaN,4482.7,4621.5,4769.6,NaN,4947.9,5054.2,NaN,5324.7,5461.4,5601.9,NaN,5794.1,5919.7,6102.7,6246.6,6347.6,NaN,6611.6,6754.5,6901.6,NaN,7081.5,7211,7411.6,7574.8,7718.2,NaN,7904.6,8053.4,8192.7,8437.8,8577.8,8678.9,NaN,8943.3,9054.3,9232.8,9426,9587.4,9693.6,NaN,9964.5,10116,10266,NaN,10450,10557,NaN,10833,10970,11123,NaN,11314,11466,NaN,11715,11864,12020,12220,12374,12485,NaN,12762,12903,13055,NaN,13246,13378,NaN,13632,13774,13925,14085,14242,14354,NaN,14633,14781,14929
