n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
1986.1,2109.9,2259.6,2400.3,2540.5,2685.3,2820.5,2929.9,NaN,3113.2,3253.8,3463,NaN,3544.5,3726.7,NaN,3915.3,4058.3,4275.2,NaN,4357.9,4558.5,NaN,4745.9,4889.5,5046.1,NaN,5197.9,5398.2,NaN,5587.9,5735,5985,6131.4,6240.6,6409.3,NaN,6598.2,6739.2,6966.8,NaN,7047.1,7233.2,NaN,7421.2,7570.6,7785.8,NaN,7867.1,8047.5,NaN,8236.5,8382.7,8598.9,8749.3,8852.5,9046.5,NaN,9239.3,9389.2,9610.5,NaN,9694.2
2045.6,2171.7,2329.6,2474.6,2617.2,2762.6,2891.3,NaN,3060.1,3214.8,3336.2,NaN,3511.3,3615.5,NaN,3870.7,4012.7,4143.4,NaN,4325.8,4441.5,NaN,4702,4846.2,4973.1,NaN,5159,5290.6,NaN,5543.6,5692.4,5818.4,6051,6206.2,6315.4,NaN,6552.8,6700.2,6825.7,NaN,7015.5,7126.4,NaN,7377.8,7523.7,7654.6,NaN,7836.7,7946.2,NaN,8192.1,8342.5,8467.5,8674.3,8822.2,8937.9,NaN,9196.7,9347,9473.1,NaN,9661.6,9773.3
