n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e
3129.4,3269.1,3424.2,3567.2,3708.8,3825.4,NaN,4010.6,4151.2,4357.7,NaN,4436.1,4621.4,NaN,4810.6,4954.9,5155.8,NaN,5245.6,5428.3,NaN,5615.7,5768.3,5973.5,NaN,6053.1,6234,NaN,6424.6,6574.9,6792.4,NaN,6873,7071.6,NaN,7261,7408.8,7624.2,NaN,7704.3,7910.2,8053.8,8209.6,8316.3,NaN,8507.5,8655.1,8873.6,NaN,8950.9,9138,NaN,9335.6,9489,9720.8,9876.8,9982.4,10180,NaN,10376,10528,10746,NaN,10828,11025,NaN,11219,11385,11605,NaN,11684,11877,NaN,12070,12219,12454,12599,12706,12902,NaN,13094,13241,13470,13618,13726,13924,NaN,14120,14268,14491,NaN,14577,14800,14959,15116,15264,15372,NaN,15572,15724,15882,NaN,16036,16256,16400,16519,16701,NaN,16896,17062,17431,17573,17730,17909,18033,NaN,18227,18403
3187.4,3332.2,3496.5,3644,3783,NaN,3968.1,4111,4237.5,NaN,4407.4,4509.8,NaN,4767.9,4912.4,5040.5,NaN,5218.7,5320.6,NaN,5570.5,5729.8,5841.7,NaN,6023,6122.4,NaN,6377.8,6516.4,6658.8,NaN,6840.4,6938.2,NaN,7214.9,7353.5,7489.9,NaN,7673.2,7777.5,7979.4,8130.9,8280.4,NaN,8461.7,8606.3,8736,NaN,8921.1,9024.2,NaN,9285,9434,9574.3,9793.4,9948.3,10064,NaN,10328,10476,10612,NaN,10797,10897,NaN,11172,11320,11468,NaN,11651,11756,NaN,12020,12167,12304,12530,12671,12780,NaN,13049,13195,13327,13546,13690,13812,NaN,14072,14218,14350,NaN,14542,14665,14868,15036,15196,15339,NaN,15510,15673,15808,NaN,15993,16129,16324,16474,16610,NaN,16850,16997,17144,17500,17652,17805,17985,NaN,18179,18331,18490
