n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n
2458.7,2697.9,2858.5,3006,3185.5,3457,3598.5,3744.2,3863.7,NaN,4050.2,4193.4,4405.1,NaN,4487,4671.5,NaN,4869.9,5039.2,5258.6,NaN,5340.1,5525.1,5679,5788.8,5976.7,NaN,6172.3,6328,6547.4,NaN,6627.7,6820.3,NaN,7018.1,7165.5,7365.5,7509.7,7617.2,7811.6,NaN,8011.3,8161.1,8394.1,8541,8657.1,8848.7,NaN,9050.2,9203.6,9370,NaN,9516.9,9739.2,9873.9,9995.9,10187,NaN,10380,10543,10706,NaN,10859,11089,11258,11452
2513.3,2736.8,2920.1,3120.8,3261.3,3518.7,3673.8,3818.9,NaN,3993,4140.9,4276.3,NaN,4453.5,4559,NaN,4818.8,4963.9,5121.7,NaN,5308.6,5410.7,5596.2,5750.3,5875.5,NaN,6118.2,6271.1,6411.2,NaN,6598,6699.6,NaN,6969.9,7112.5,7249,7434.6,7580,7709.9,NaN,7963.7,8098.8,8245.1,8470,8616.3,8751,NaN,8996.6,9141.1,9286.3,NaN,9478.8,9603.9,9794.5,9951,10088,NaN,10332,10482,10627,NaN,10814,10951,11157,11336,11525
