n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1831.4,1987.3,2476.2,2624.7,2795.1,2975.8,3122.2,3277.8,3434.4,3586.3,3740.4,3895.7,3968.8,NaN,4083.1,4233.6,4453,NaN,4533.7,4723.6,NaN,4921.6,5079.8,5296.2,NaN,5377.4,5578.5,NaN,5776.7,5932,6087.5,NaN,6241.1,6436.3,NaN,6631.4,6782.7,7003.8,NaN,7089.5,7273.9,7429.8,7537.2,7718.5,NaN,7917.9,8069.8,8247.6,8404.7,8513.9,8699.9,NaN,8895,9050.2,9207,NaN,9358.5,9554.1,NaN,9753.3,9913.1,10141,10292,10398,10589,NaN,10788,10937,11180,NaN,11264,11457,NaN,11654,11807,11958,NaN,12114,12314,NaN,12514,12681,12911,13064,13173,13386,NaN,13583,13736,13896,NaN,14050,14270,14432,14558,14751,NaN,14951,15118
1871.5,2022.1,2514.6,2670.5,2837,3016.6,3187.7,3346.9,3507.5,3661.2,3810.8,3933,NaN,4019,4185.1,4320.7,NaN,4499.4,4602.4,NaN,4866.1,5024.3,5165.2,NaN,5343.7,5444.1,NaN,5727.1,5875.5,6020.5,NaN,6202.4,6336.1,NaN,6584.7,6734.3,6864.2,NaN,7051.3,7161.3,7347.9,7502,7608.4,NaN,7867.8,8016,8157,8330.2,8473.5,8608.8,NaN,8850.8,8997.6,9133.1,NaN,9321,9453.9,NaN,9705.6,9860.6,9996.9,10220,10361,10471,NaN,10742,10896,11022,NaN,11230,11338,NaN,11607,11755,11889,NaN,12077,12209,NaN,12462,12621,12762,12990,13138,13256,NaN,13538,13690,13823,NaN,14015,14145,14341,14511,14648,NaN,14902,15050,15201
