n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2179.8,2423,2569.8,2737.1,2884.2,3026,3135.2,NaN,3318,3465.1,3674.6,NaN,3754.8,3940.6,NaN,4128.5,4275.2,4487.4,NaN,4567.6,4753.6,4911.2,5015.2,5207.4,NaN,5400.1,5547.9,5762,NaN,5846.9,6039.9,NaN,6231.5,6377.3,6605.9,NaN,6687.2,6906.6,NaN,7093.4,7252.5,7439.7,7595.7,7701.7,7894.4,NaN,8089.3,8245.6,8456.5,NaN,8545,8729.4,NaN,8923.6,9083.8,9475.5,9610.9,9719.9,9902.7,NaN,10097,10250,10465,NaN,10550,10745,NaN,10941,11099,11253,NaN,11406,11600,NaN,11793,11953
2215.8,2473.7,2629.2,2802.8,2959.7,3096.6,NaN,3271.5,3416.5,3546.3,NaN,3724.4,3821.2,NaN,4084.6,4229.5,4355.9,NaN,4538.7,4650,4834.2,4980.8,5089,NaN,5355.7,5504.6,5628.6,NaN,5814,5918.1,NaN,6186.5,6332.3,6460.3,NaN,6654.8,6764.7,NaN,7044.1,7198.8,7332.3,7517.7,7671.7,7777.6,NaN,8038.9,8192.3,8327.1,NaN,8509.3,8621.1,NaN,8879,9028.9,9170.1,9546,9684.8,9812.2,NaN,10050,10196,10333,NaN,10517,10629,NaN,10894,11044,11181,NaN,11371,11494,NaN,11748,11898,12036
