n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
1982.7,2148.1,2308.9,2979.3,3121.2,3279.5,3432.7,3581.8,3688.1,NaN,3875.9,4019.5,4241.3,NaN,4321.2,4506.8,NaN,4698.4,4841.8,5018.4,5175.2,5283.7,5459.3,NaN,5654.6,5804.6,6013.6,NaN,6106.6,6296.7,NaN,6492,6644.7,6860.8,NaN,6943.3,7147.2,7295.5,7407.9,7593.9,NaN,7788.7,7939.6,8118.4,8270.6,8377.7,8563.4,NaN,8762.3,8912.5,9126.5,NaN,9225.5,9426.9,9581.4,9692.2,9878.8,NaN,10076,10222,10415,10581,10698,10887,NaN,11085,11236,11471,NaN,11559,11773,11927,12079,12211,NaN,12414,12563,12772,NaN,12874,13029,NaN,13315,13459,13698,13840,13957,14162,NaN,14363,14520,14743,NaN,14826
2024.9,2199.4,2356.4,3023.1,3188.2,3354.3,3509.8,3653.2,NaN,3821.2,3975.5,4106.3,NaN,4290.7,4398.8,NaN,4651.9,4804,4933.7,5097.2,5248.3,5364.2,NaN,5607.1,5761.1,5890.9,NaN,6077.1,6188,NaN,6445.3,6602.4,6730.8,NaN,6914.3,7023.4,7226.1,7372.4,7491.1,NaN,7743.8,7894,8025.1,8200.1,8347,8462.4,NaN,8712.8,8872,8998.8,NaN,9193.9,9305.8,9505.1,9659.8,9773.4,NaN,10029,10180,10309,10495,10661,10792,NaN,11040,11189,11323,NaN,11526,11647,11846,12014,12163,NaN,12365,12523,12654,NaN,12840,12951,NaN,13209,13412,13548,13780,13929,14045,NaN,14313,14461,14605,NaN,14792,14906
