n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3338.7,3463.1,3611,3755.6,3892.2,4004.2,NaN,4181.2,4321.5,4528.4,NaN,4606.4,4785.5,NaN,4971.2,5110,5325.4,NaN,5405.4,5602.5,NaN,5787.7,5933.8,6127.7,NaN,6223.3,6408.4,NaN,6595.8,6738.4,6952.1,NaN,7031.6,7236.3,7383.8,7497.9,7674.7,NaN,7865.9,8010.2,8226,NaN,8304.2,8484.2,NaN,8676.5,8824.3,9039.9,NaN,9123.2,9317.5,9466.9,9569.4,9757,NaN,9944.5,10092,10309,NaN,10395,10608,10776,10913,11035,NaN,11226,11374,11609,NaN,11688,11890,NaN,12079,12245
3377.3,3520.7,3683.7,3830.2,3967.4,NaN,4128.4,4284.9,4405.3,NaN,4578,4678.8,NaN,4928.2,5072.2,5191.9,NaN,5373.2,5478.8,NaN,5742.5,5891,6015.6,NaN,6192.8,6302.2,NaN,6552.7,6696.2,6820,NaN,7001.2,7110.2,7307.5,7460.2,7598.4,NaN,7821.3,7971.9,8091.3,NaN,8274.6,8382.5,NaN,8630.2,8778.7,8907.1,NaN,9089.8,9202,9394.5,9535.9,9643.2,NaN,9900.3,10047,10177,NaN,10359,10473,10678,10848,10991,NaN,11182,11335,11461,NaN,11658,11767,NaN,12035,12182,12332
