n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1988.7,2194.5,2352.6,2518.7,2674.7,2814.7,2963.3,3111.4,3259.9,NaN,3441,3586.9,3797.2,NaN,3877.8,4069.7,NaN,4268.2,4418.4,4633.1,NaN,4714.2,4910.8,NaN,5103,5254.3,5460.8,NaN,5560.7,5748.3,NaN,5946.4,6101.3,6313.9,NaN,6398.8,6594.8,NaN,6784.2,6939.7,7142.8,7296.4,7401.4,7601.2,NaN,7798.9,7977.5,8205.5,NaN,8287,8520.6,8684.3,8807,8984.6,NaN,9185.9,9334.1,9544.3,9694.8,9802.6,9996.4,NaN,10194,10347,10562,NaN,10644,10841,NaN,11042,11197
2033.6,2243.5,2407.6,2577.8,2720.6,2880.2,3036.9,3184,NaN,3393.8,3533.6,3670.4,NaN,3847.2,3950.4,NaN,4214,4357,4502.6,NaN,4683.1,4788,NaN,5053.9,5190.9,5338.8,NaN,5526.9,5636,NaN,5894.3,6040.8,6184.7,NaN,6364.8,6472.1,NaN,6741.6,6883.8,7022.4,7220,7366.9,7477.7,NaN,7750.6,7897.2,8057.8,NaN,8257.5,8359.1,8586.9,8755.3,8893.7,NaN,9135.9,9283.6,9417.9,9620.8,9767.1,9888.1,NaN,10146,10297,10432,NaN,10615,10716,NaN,10994,11146,11281
