n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1812.2,1980.7,2257.3,2428.4,2593.6,2744,2895,3054.9,3196.4,NaN,3382.2,3530,3747.9,NaN,3827.2,4017.7,NaN,4211.4,4366.1,4585.7,NaN,4667.6,4863.7,NaN,5061.2,5214.4,5434,NaN,5513.6,5707.1,NaN,5904.1,6053,6258.9,NaN,6353.7,6564.3,6711.6,6850.2,6998.8,7099.4,NaN,7296.3,7450.4,7678.8,NaN,7761.5,7953.2,NaN,8150.5,8302.8,8480.5,8633.8,8743.1,8946.3,NaN,9143.5,9302,9531.3,NaN,9615.6,9814.4,NaN,10015,10175,10399,10557,10679,10862,NaN,11062,11221,11450,NaN,11535,11749,11903,12053,12201,12324,NaN,12524,12677,12900,NaN,12987,13192,NaN,13391,13551,13727,NaN,13881,14098,NaN,14299,14454,14704,14874,14996,15218,15387,15519,15727,NaN,15932,16092,16320,NaN,16405,16617,NaN,16816,16984,17245,17405,17538,17745,NaN,17946,18115
1869.3,2027.3,2306.1,2486,2662.8,2815.4,2969.4,3130.3,NaN,3332.3,3475,3613.4,NaN,3794.2,3899,NaN,4162.7,4313.3,4447.7,NaN,4636.6,4738.2,NaN,5013.5,5162.9,5296.3,NaN,5482.8,5589.2,NaN,5852.1,6002.1,6134.8,NaN,6322.2,6422.9,6630.3,6791.8,6923.6,7066.6,NaN,7233.4,7399.1,7540.1,NaN,7729.5,7831.7,NaN,8102.2,8250.9,8386,8552.5,8707.8,8837.6,NaN,9087.9,9240.8,9387.5,NaN,9585,9692.8,NaN,9964.8,10118,10264,10481,10635,10781,NaN,11015,11169,11308,NaN,11501,11606,11823,11981,12129,12283,NaN,12475,12628,12764,NaN,12953,13064,NaN,13344,13498,13629,NaN,13840,13976,NaN,14246,14399,14541,14786,14950,15086,15293,15466,15614,NaN,15885,16035,16177,NaN,16370,16471,NaN,16766,16924,17069,17315,17481,17632,NaN,17897,18046,18201
