n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f
1862.5,1993,2141.3,2285,2430.1,2571,2712.2,2824,NaN,3009.8,3150.2,3357.9,NaN,3438.6,3628.4,NaN,3821.2,3969.6,4178.8,NaN,4261.8,4452.8,4601.3,4711.4,4890.5,NaN,5086.5,5235.2,5393.8,NaN,5572.4,5728.9,NaN,5922,6070.9,6297.6,NaN,6381.3,6574.2,6722.5,6832.7,7019.5,NaN,7215.2,7365.6,7522.2,NaN,7671.1,7881.5,8029.9,8175.5,8286.3,NaN,8479.9,8631,8846.6,8994.5,9101.3,9291,NaN,9487.8,9647.6,9863.5,NaN,9947.6,10159,10316,10461,10731,NaN,10923,11077,11277,NaN,11377
1909,2032.8,2196.7,2358.1,2502.9,2643.9,2785.2,NaN,2957.8,3092.1,3228.4,NaN,3404.7,3506.3,NaN,3771.6,3910.6,4049.1,NaN,4227.9,4330.7,4524.7,4670.6,4797.9,NaN,5038,5176.6,5318.8,NaN,5500.9,5624.8,NaN,5869.2,6014.4,6154.3,NaN,6346.9,6455.4,6647.5,6799.7,6906.9,NaN,7166.4,7311.2,7448.2,NaN,7629.3,7756.9,7948.3,8108.3,8249.9,NaN,8429.3,8576.2,8714.1,8921.2,9066,9194.6,NaN,9438.7,9583.2,9730.3,NaN,9913,10027,10231,10395,10688,NaN,10881,11026,11164,NaN,11345,11452
