n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1993.2,2130.2,2283.8,2429.8,2558,NaN,2747.4,2891.8,3078.8,NaN,3178.6,3369.9,NaN,3560.3,3704.7,3919,NaN,4001.6,4192.6,4338.3,4448.8,4618.2,NaN,4809.9,4955.4,5141.7,NaN,5247.3,5440.5,NaN,5631.3,5778.3,5968.1,NaN,6073.8,6262.9,6409.1,6520.2,6705.7,NaN,6896.4,7043.6,7241.4,7391.2,7504.2,7679.5,NaN,7872.5,8020.3,8218.7,NaN,8319.1,8509.9,NaN,8700.6,8847.2,9061.4,9209.3,9317.3,9501,NaN,9691.7,9844.3,10039,NaN,10144,10326,10481,10589,10770,NaN,10964,11114,11342,NaN,11428,11622,NaN,11816,11973,12192,12345,12456,12645,NaN,12850,12995
2039.4,2190.1,2354.3,2502,NaN,2702.2,2850,2973.3,NaN,3148.4,3253.8,NaN,3517.2,3658.8,3817.3,NaN,3968.5,4077.9,4265.4,4413.1,4525.1,NaN,4765.5,4911.8,5039,NaN,5217.3,5322.8,NaN,5586.6,5733.8,5860.5,NaN,6039.8,6147.5,6338.5,6484.1,6621.2,NaN,6848.9,7001.8,7131.3,7320.9,7464.2,7579.2,NaN,7827.2,7980.2,8105.4,NaN,8289.7,8394.4,NaN,8652.6,8801.7,8936.5,9140,9285,9394.1,NaN,9647.5,9802.1,9928.2,NaN,10110,10226,10403,10556,10675,NaN,10921,11071,11200,NaN,11394,11502,NaN,11769,11922,12058,12271,12420,12558,NaN,12805,12935,13084
