n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1981.6,2114.2,2259.6,2405.7,2544.4,2665.2,NaN,2851.7,2994.1,3211.9,NaN,3292.5,3474.7,NaN,3664,3813.1,4022.1,NaN,4102.1,4291.9,NaN,4480.1,4621,4828.3,NaN,4923.5,5106.3,5251.9,5357,5540.5,NaN,5734.1,5885.4,6113.6,NaN,6196.3,6391.1,NaN,6585.7,6741.8,6963.9,NaN,7047.1,7237.7,NaN,7433.6,7592.7,7814.6,7953.8,8061.7,8247.9,NaN,8441.4,8590.1
2020.3,2167.1,2323,2481.2,2619.9,NaN,2807.9,2956.9,3080,NaN,3263.1,3364.2,NaN,3618.6,3764.8,3894.9,NaN,4071.9,4176.1,NaN,4432.7,4578.2,4706.5,NaN,4894.2,5002.9,5178.7,5324.2,5430.6,NaN,5689.2,5837.1,5967.2,NaN,6164.2,6275.5,NaN,6543.8,6688,6826.6,NaN,7015.7,7130.8,NaN,7386.8,7539.9,7694.2,7892.8,8028.7,8145,NaN,8398,8545.1,8679.1
