n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2633.3,2728.2,2883.2,3030.7,3179.7,3314.5,3467.1,3610.2,3751.7,3853.8,NaN,4038.2,4180.7,4391.6,NaN,4470.8,4656.4,NaN,4845.6,4987.5,5196.3,NaN,5274.9,5459.8,NaN,5649.7,5794.6,6006.1,NaN,6083.9,6272.1,NaN,6463.4,6608.9,6825.6,NaN,6904.7,7092,NaN,7284.7,7428.4,7623.5,7768.1,7870.4,8054.5,NaN,8247.2,8390.5,8593.9,NaN,8687.2,8875.4,NaN,9066.5,9232,9386.2,NaN,9520.7,9705.5,NaN,9902.9,10051,10241,10386,10491,10683,NaN,10865,11021,11239,NaN,11323,11540,11685,11808,11986,NaN,12179,12334,12556,NaN,12639,12837,NaN,13034,13184,13509,13649,13753,13943,NaN,14137,14287,14552,14699,14804,15009,NaN,15204,15363,15580,NaN,15664,15880,16041,16200,16318,NaN,16517,16672,16882,NaN,16978,17176,NaN,17375,17542,17757,NaN,17840,18043,NaN,18246,18410,18620,NaN,18713,18937,19116,19239,19425,NaN,19620,19786,20047,20189,20298,20495,NaN,20693,20850,21060,NaN,21159,21355,NaN,21557,21724,21941,22103,22209,22410,NaN,22615,22769,22967,NaN,23065,23266,NaN,23474,23642,23870,NaN,23952,24169,NaN,24367,24533
2664.3,2806.1,2940.5,3091.2,3241.8,3384.2,3541.7,3691,3822,NaN,3989.7,4143.8,4263.5,NaN,4438.2,4542.5,NaN,4801.5,4946.5,5069.7,NaN,5247.6,5345.9,NaN,5601.4,5756.4,5874.2,NaN,6054.5,6162.2,NaN,6417.6,6564.6,6692.3,NaN,6876.8,6982.1,NaN,7236.6,7383.6,7510.4,7700.3,7838.2,7947.2,NaN,8201.2,8349.1,8474.4,NaN,8653.9,8762.5,NaN,9022.2,9168.8,9315.7,NaN,9503.5,9690.5,NaN,9857.4,10001,10133,10318,10458,10574,NaN,10831,10956,11103,NaN,11289,11392,11607,11762,11893,NaN,12134,12274,12419,NaN,12608,12710,NaN,12988,13130,13265,13581,13719,13826,NaN,14092,14230,14370,14621,14768,14875,NaN,15160,15301,15442,NaN,15629,15746,15949,16117,16275,NaN,16470,16619,16758,NaN,16947,17048,NaN,17326,17441,17623,NaN,17807,17917,NaN,18194,18348,18494,NaN,18681,18801,19010,19189,19328,NaN,19574,19723,19869,20118,20259,20372,NaN,20647,20785,20934,NaN,21124,21228,NaN,21510,21632,21806,22020,22174,22293,NaN,22562,22714,22852,NaN,23034,23136,NaN,23422,23565,23724,NaN,23918,24027,NaN,24318,24471,24621
