n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2901.8,3051.4,3219.5,3376,3521.9,3665.4,3813.2,3918.6,NaN,4099.8,4241.1,4449.2,NaN,4526.7,4706.3,NaN,4897.4,5047,5244.2,NaN,5341.7,5528.2,NaN,5718.4,5868.4,6084.2,NaN,6166.8,6356.2,NaN,6548.5,6698.7,6883.7,7040.2,7145.1,7332.8,NaN,7525.3,7677.9,7877.6,NaN,7984.9,8174.5,8325.2,8433.2,8616.1,NaN,8810.5,8965.2
2938.5,3107.4,3277.9,3440.6,3596.9,3742.4,3881.7,NaN,4046.7,4199.1,4326.6,NaN,4499.6,4606.6,NaN,4854.5,5001.5,5128.9,NaN,5311.5,5420.9,NaN,5671.4,5818.9,5951.1,NaN,6136.3,6250.9,NaN,6503.9,6653.8,6787,6963.4,7116.3,7225.1,NaN,7479.8,7633.4,7761.4,NaN,7947.1,8058.2,8252.5,8400.7,8513.6,NaN,8764.3,8914,9052.2
