n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e
1988.2,2132,2315.5,2511.7,2648.6,2819.2,2977.1,3128.7,3274.8,3382.7,NaN,3571.1,3714.6,3930.8,NaN,4012,4200.2,NaN,4395.3,4546.7,4763.2,NaN,4845.1,5048.2,NaN,5234.3,5381.9,5606.9,NaN,5690.2,5888.1,NaN,6076,6231.3,6440.7,NaN,6540.4,6723.4,6878.8,6989.8,7172.3,NaN,7372.1,7525,7685.2,NaN,7835.1,8044.9,8204.2,8347,8475.2,NaN,8675,8828.3,8999.8,NaN,9144.8,9352.7,NaN,9543.5,9696.8,9858.7,NaN,10013,10223,NaN,10413,10571,10806,NaN,10890,11102,NaN,11303,11456,11687,11843,11954,12137,NaN,12338,12497,12661,NaN,12813,13027,NaN,13232,13397,13553,NaN,13772,13933,14087,14231,14390,14509,NaN,14707,14867,15024,NaN,15187,15403,15554,15684,15901,NaN,16108,16266,16534,16692,16801,17015,17177,17328,17468,NaN,17660,17830
2032.3,2178.1,2359.6,2558,2714.8,2896.5,3052.3,3203.4,3346.5,NaN,3520.4,3668.2,3800,NaN,3982.2,4086.8,NaN,4348.8,4498.6,4629.3,NaN,4811.4,4923.1,NaN,5187.9,5332.6,5469,NaN,5660.2,5765.2,NaN,6025.9,6179.3,6318.5,NaN,6507.1,6617.3,6803.2,6953.5,7079.8,NaN,7324.9,7480.7,7612.9,NaN,7799.1,7928.8,8116.7,8278.9,8429.8,NaN,8623.8,8782.1,8912.7,NaN,9109.3,9238.9,NaN,9492,9645.3,9782.8,NaN,9975.5,10115,NaN,10365,10518,10654,NaN,10858,10970,NaN,11256,11379,11541,11768,11920,12035,NaN,12289,12443,12583,NaN,12778,12911,NaN,13180,13334,13484,NaN,13676,13844,14018,14165,14316,14468,NaN,14658,14813,14961,NaN,15145,15282,15474,15632,15777,NaN,16059,16208,16353,16608,16771,16880,17091,17256,17411,NaN,17613,17757,17915
