n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
3072.4,3222.5,3364,3506.7,3646,3785.8,3903.7,NaN,4081.3,4217.4,4421.5,NaN,4501.3,4684.5,NaN,4870,5009.9,5201.5,NaN,5297.8,5481.6,NaN,5668.2,5812.2,6037,NaN,6116.6,6302.7,NaN,6489.3,6633.3,6824.3,NaN,6924.9,7107.2,NaN,7296.8,7443.1,7648.9,7790.8,7889.5,8069.8,NaN,8254.1,8399.5,8601,NaN,8698.8,8891,NaN,9079.8,9223.2,9371.9,NaN,9521.5,9705,9851.3,9952.8,10138,NaN,10329,10476,10864,11000,11139,11265,NaN,11455,11602,11812,NaN,11893,12079,NaN,12272,12420,12627,NaN,12721,12923,NaN,13116,13374,13516,13657,13798,NaN,13990,14133,14331,NaN,14438,14664,14822,14956,15096,NaN,15289,15438
3122,3295.3,3434.1,3580.7,3722.2,3865.3,NaN,4034.6,4180.4,4298.3,NaN,4470.1,4574.6,NaN,4825.9,4969.3,5090.3,NaN,5267.9,5370.8,NaN,5625.1,5767.9,5895.2,NaN,6087.1,6198.2,NaN,6446.2,6594.4,6715.8,NaN,6896.7,7000,NaN,7251.4,7396.4,7528.2,7723,7861.7,7964.3,NaN,8211.4,8357.4,8483.8,NaN,8667.9,8771.6,NaN,9036.8,9183.6,9311.5,NaN,9486.2,9618.9,9778.4,9927.1,10032,NaN,10286,10431,10561,10931,11078,11220,NaN,11414,11558,11687,NaN,11863,11971,NaN,12222,12374,12504,NaN,12695,12800,NaN,13069,13192,13439,13591,13739,NaN,13946,14097,14220,NaN,14405,14516,14733,14901,15035,NaN,15244,15393,15525
