n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
3357.3,3521.2,3670.2,3816.6,3956.3,4099.6,4207,NaN,4390.8,4529.1,4740.2,NaN,4818.3,5008.9,NaN,5197.3,5344,5557.1,NaN,5634.3,5815.3,NaN,6004.5,6145.8,6357.4,NaN,6440.1,6632.7,NaN,6826.3,6971.1,7173.7,NaN,7263.3,7450.6,NaN,7642.8,7790.1,7981.1,8131.1,8236.7,8424.8,NaN,8617.6,8772.6,8996.1,NaN,9075.2,9262.4,NaN,9453.8,9607,9820.6,NaN,9900.8,10088,NaN,10284,10434,10652,NaN,10732,10941,11083,11245,11353,NaN,11548,11697,11940,NaN,12022,12247,12391,12543,12649,NaN,12842,12999,13216,NaN,13296,13491,NaN,13688,13851,14071,14214,14323,14513,NaN,14712,14873,15084,NaN,15181,15437,15605,15754,15905,16015,NaN,16214,16368,16589,NaN,16671,16883,NaN,17088,17244,17411,NaN,17557,17750,NaN,17950,18107,18353,18504,18611,18802,NaN,19001,19146,19320,NaN,19466,19689,19840,19995,20148,20268,NaN,20462,20621,20840,NaN,20922,21124,NaN,21357,21504
3398.6,3583,3747.2,3891.4,4031.2,4170.5,NaN,4336.6,4493.9,4612.6,NaN,4786,4891.7,NaN,5153.4,5300.7,5426.7,NaN,5606.5,5708.7,NaN,5952.7,6105.4,6226.1,NaN,6404.7,6513.5,NaN,6780.7,6921.6,7054.8,NaN,7235,7342.1,NaN,7597.2,7744.7,7875.2,8055.7,8202.3,8308.1,NaN,8568.7,8725,8859,NaN,9046.7,9151.3,NaN,9405.6,9556.2,9689.5,NaN,9867.6,9972.1,NaN,10239,10374,10519,NaN,10701,10803,11007,11157,11317,NaN,11501,11644,11777,NaN,11991,12093,12313,12469,12615,NaN,12786,12942,13081,NaN,13264,13372,NaN,13637,13778,13930,14148,14284,14418,NaN,14664,14806,14955,NaN,15145,15269,15498,15683,15826,15978,NaN,16161,16311,16448,NaN,16640,16743,NaN,17035,17190,17328,NaN,17519,17645,NaN,17900,18024,18189,18410,18574,18685,NaN,18953,19095,19231,NaN,19429,19559,19762,19916,20073,20222,NaN,20415,20565,20704,NaN,20889,20995,NaN,21278,21447,21588
