n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1990,2144.5,2291.4,2435.2,2576.9,2719.1,2820,NaN,3008.2,3149.2,3362.2,NaN,3441.6,3619.6,NaN,3810.2,3955.9,4179.1,NaN,4258.4,4442.3,NaN,4632.9,4785.6,4986.8,NaN,5079.6,5277.1,NaN,5472.9,5621.5,5882.5,6019.2,6126.1,6305.8,NaN,6497.8,6650.8,6844.1,NaN,6947.2,7129.3,NaN,7324.9,7474.2,7706.2,7858.4,7962.1,8150.4,NaN,8347.2,8491,8693.4,NaN,8794.5,8986,NaN,9185.2,9342.3,9590.8,9737.9,9847.8,10039,NaN,10236,10393
2030.3,2197.5,2357.7,2511.5,2652.1,2789.3,NaN,2954.3,3107.3,3236.5,NaN,3414.3,3514.4,NaN,3769.8,3917.5,4041.5,NaN,4229.1,4338.9,NaN,4587.8,4734.5,4870.5,NaN,5050.9,5160.7,NaN,5427.4,5574.2,5706.8,5956.1,6092.8,6201.1,NaN,6453.2,6601.2,6735.9,NaN,6920.4,7027.8,NaN,7277.6,7431.1,7560,7785.1,7931.2,8039.5,NaN,8303.1,8452.4,8577.2,NaN,8762.1,8875.8,NaN,9135.3,9283.4,9426.9,9665.6,9812.1,9933.8,NaN,10188,10323,10473
