n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1976.5,2119.7,2274.8,2446.3,2644.8,2803.5,2957.5,3111,NaN,3296.9,3444.8,3661.3,NaN,3741.7,3924.8,NaN,4120.3,4267,4490.6,NaN,4574.2,4773.1,NaN,4967.4,5114.6,5334.8,NaN,5416.9,5609.8,NaN,5807.4,5960,6186.8,NaN,6271.8,6463.6,6616.4,6731.5,6909.6,NaN,7108.5,7257.8,7489.1,NaN,7569.7,7762.8,NaN,7960.8,8110.7,8337.1,NaN,8422.8,8614.9,NaN,8817.8,8968.2,9147.3,9301.6,9411.6,9608.1,NaN,9806.5,9963.2,10121,NaN,10395,10568,10718,10861,11000,NaN,11198,11352,11513,NaN,11670,11878,12033,12149,12348,NaN,12550,12701,12923,NaN,13013,13225,13390,13543,13694,13827,NaN,14025,14180,14426,NaN,14508,14710,NaN,14909,15066,15336,15496,15607,15802,NaN,16008,16164
2010.6,2171.9,2334.6,2494.8,2692.2,2864.4,3036.7,NaN,3250.2,3400.6,3532.3,NaN,3707.7,3817.5,NaN,4073.6,4223.5,4352.8,NaN,4538.8,4646.7,NaN,4918.9,5071,5200.6,NaN,5385.7,5493,NaN,5759.8,5914,6047.4,NaN,6237.5,6344.4,6542,6691.5,6825.2,NaN,7060.3,7212.3,7345.1,NaN,7535.9,7644,NaN,7912.3,8065.9,8196.3,NaN,8390.9,8495.7,NaN,8772.4,8921,9054.9,9225.7,9374,9508.8,NaN,9761.1,9912.9,10052,NaN,10239,10462,10646,10797,10941,NaN,11149,11309,11440,NaN,11632,11770,11954,12110,12246,NaN,12498,12656,12789,NaN,12975,13091,13297,13471,13625,13774,NaN,13982,14133,14270,NaN,14480,14586,NaN,14863,15019,15160,15392,15571,15684,NaN,15956,16111,16254
