n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
4168.2,4297.4,4444.4,4572.9,4699.1,4858.8,5000,5137.7,5249.4,NaN,5431.2,5576.6,5785.1,NaN,5867.1,6050.8,NaN,6237.7,6381.6,6591,NaN,6669.8,6858,NaN,7047.6,7189.6,7410.3,NaN,7490.8,7674.2,NaN,7863,8006.2,8213.6,NaN,8297.2,8486.7,8632.5,8743.6,8917.9,NaN,9108.3,9256.7,9446.8,NaN,9546,9721.8,NaN,9913.5,10059,10254,10396,10505,10689,NaN,10882,11035,11248,NaN,11330,11523,11670,11774,11953,NaN,12146,12293,12494,12642,12755,12938,NaN,13128,13277,13490,NaN,13572,13770,NaN,13962,14118,14406,14549,14656,14842,NaN,15036,15180
4203,4346.5,4490.3,4631.9,4767.9,4932.1,5075.6,5209,NaN,5373.9,5536.3,5660.3,NaN,5827.8,5938.3,NaN,6196,6336.5,6464.9,NaN,6641.3,6749.6,NaN,7003.2,7147.9,7269.9,NaN,7460.4,7568.5,NaN,7815.7,7970.1,8085.3,NaN,8264.7,8374.9,8564.3,8707.9,8809.4,NaN,9059.5,9208.6,9337.5,NaN,9517.5,9623.3,NaN,9869,10017,10144,10328,10470,10581,NaN,10838,10984,11120,NaN,11298,11412,11601,11743,11850,NaN,12099,12247,12376,12573,12717,12860,NaN,13084,13233,13361,NaN,13543,13655,NaN,13915,14071,14200,14483,14617,14742,NaN,14993,15140,15264
