n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l
1993.9,2168.1,2351.5,2851.9,3000,3176.9,3374.7,3532.4,3693.9,3851.3,4009,NaN,4192.2,4338.2,4555.2,NaN,4638.5,4830.5,NaN,5026.6,5180,5402.7,NaN,5485.4,5689.3,NaN,5888.1,6042,6258.5,6414.6,6532.3,6728.2,NaN,6925,7074.6,7234.8,NaN,7386.3,7594.8,7759,7918.3,8069.9,8190.2,NaN,8384.8,8538.5,8696,NaN,8852.2,9084.9,9235.2,9351.7,9543.6,NaN,9745.5,9904.8,10058,NaN,10219,10422,NaN,10621,10776,10991,11148,11267,11466,NaN,11667,11835,12039,12196,12362,12519,12667,12796,NaN,12993,13150,13313,NaN,13475,13684,NaN,13889,14055,14213,14483,14660,14821,14974,15141,15307,15447,NaN,15649,15808,15967,NaN,16131,16344,NaN,16548
2038.8,2220.8,2389.6,2893,3047.1,3227,3435.2,3601.3,3766.3,3922.7,NaN,4147.6,4291.2,4421.4,NaN,4601.4,4704.7,NaN,4983.1,5131.1,5264.3,NaN,5451.1,5561.4,NaN,5840.3,5990.8,6129.7,6340.7,6487.2,6625.8,NaN,6874.3,7028.6,7162.5,NaN,7348.1,7486.8,7665,7832.3,7994.1,8144.5,NaN,8340,8487.9,8626.9,NaN,8810.8,8950.2,9158.4,9308.9,9455.9,NaN,9694.7,9851.7,9990.3,NaN,10177,10318,NaN,10572,10726,10866,11074,11226,11366,NaN,11618,11762,11921,12122,12274,12449,12600,12744,NaN,12945,13095,13235,NaN,13438,13582,NaN,13838,13996,14140,14334,14552,14738,14924,15076,15216,15386,NaN,15600,15755,15896,NaN,16089,16227,NaN,16497,16631
