n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1979.4,2103.8,2248.1,2447.8,2625.2,2794.2,2949.8,3107.2,3259.9,3378.1,NaN,3568.8,3717.7,3929,NaN,4009.1,4206.9,NaN,4393,4535.2,4746.9,NaN,4827.2,5023.4,NaN,5215.2,5365.4,5578.5,NaN,5658.5,5849.4,NaN,6044.2,6194.9,6368.4,6520.7,6627,6824.3,NaN,7010.6,7155.8,7374.1,NaN,7456.8,7644.3,NaN,7842.8,7997.9,8216.1,NaN,8298,8495.9,NaN,8690,8841.1,9005.7,9163.3,9297.3,9495.7,NaN,9690.9,9842.8,10201,10345,10453,10641,NaN,10833,10981,11199,NaN,11280,11480,NaN,11680,11833,12057,NaN,12138,12330,NaN,12528,12686
2022.3,2161.2,2311.8,2503.5,2685.2,2858.1,3018.9,3182.6,3330.8,NaN,3519.2,3654.8,3795.2,NaN,3977.6,4073.3,NaN,4343.8,4479.2,4620.3,NaN,4796.5,4896.5,NaN,5164,5310.4,5448.9,NaN,5625.8,5728.4,NaN,5993.1,6133.9,6274,6441.6,6593.4,6696.9,NaN,6962.8,7098.8,7242.5,NaN,7425.7,7531.6,NaN,7788.3,7935.5,8079.2,NaN,8264.4,8369.4,NaN,8643.4,8780.9,8924.4,9082.3,9237.1,9387.8,NaN,9643,9786.5,9925.9,10272,10417,10527,NaN,10786,10928,11065,NaN,11250,11354,NaN,11631,11781,11919,NaN,12109,12209,NaN,12478,12622,12773
