n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1988.9,2164.1,2319.6,2505.7,2653.7,2805.7,2949.3,3091.2,3237,NaN,3420.2,3563.3,3772.6,NaN,3853.6,4033.5,NaN,4227.1,4372.3,4585.6,NaN,4666.7,4857,NaN,5045.8,5193.3,5375.4,5518.7,5622.6,5806.1,NaN,5997.6,6143.7,6364.3,NaN,6444.6,6625.3,NaN,6816.2,6966.3,7182,NaN,7267.2,7450.4,7596.2,7701.9,7883.1,NaN,8075,8219.2,8422.2,8567.8,8673.2,8862,NaN,9046.4,9205.6,9429.9,9582.1,9684.5,9873.8,NaN,10069,10226
2029.5,2202.1,2367.7,2556.5,2717.9,2878.5,3025.8,3168.7,NaN,3372.9,3525.1,3648,NaN,3822.6,3924.5,NaN,4180.4,4326.8,4453.7,NaN,4637.5,4748.5,NaN,5001.6,5148.7,5279.4,5454.4,5593.7,5700,NaN,5951.2,6097,6228.4,NaN,6415.5,6518.2,NaN,6773.9,6921.1,7051.7,NaN,7234.1,7346.9,7525.1,7673.1,7777.3,NaN,8027.5,8177,8301.3,8497.2,8640.4,8749.1,NaN,9000.1,9153.8,9287.5,9508.6,9653.4,9764.8,NaN,10025,10173,10308
