n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2291.6,2444.1,2597.8,2759.2,2906.7,3057.8,3209.1,3319.3,NaN,3507.4,3648.1,3858.3,NaN,3941.4,4125.6,NaN,4315.6,4461.4,4680,NaN,4758.6,4952.7,NaN,5145.2,5296.5,5481.9,5626.7,5728,5909.2,NaN,6102.8,6256,6471.9,NaN,6558,6746.5,NaN,6938.8,7092,7309.6,NaN,7390.7,7583.4,7729.4,7831.5,8015.3,NaN,8209.6,8372.2,8558.6,8713.4,8820.3,9008.6,NaN,9200.9,9351.3,9571.2,NaN,9654.6,9847.5,NaN,10041,10196,10450,10584,10687,10876,NaN,11070,11224,11379,11607,11761,11903,12018,NaN,12209,12367,12589,NaN,12672,12862,NaN,13063,13210
2330.1,2496.2,2651.7,2817.4,2973.2,3135.5,3284.3,NaN,3460.2,3603.8,3736.1,NaN,3905.9,4015.5,NaN,4273.9,4415.8,4549.6,NaN,4731.4,4837.1,NaN,5098.3,5251.5,5378.5,5561.2,5700.2,5807.9,NaN,6055.3,6205.6,6340.2,NaN,6526.1,6634.2,NaN,6893.4,7042,7180.8,NaN,7359.8,7469.2,7658,7805.8,7910.9,NaN,8162.3,8318.2,8455.4,8638.4,8784.3,8897.2,NaN,9155.3,9306.7,9439.5,NaN,9620.9,9731.3,NaN,9995.8,10147,10280,10518,10655,10769,NaN,11026,11173,11308,11499,11683,11840,11984,NaN,12154,12314,12452,NaN,12642,12754,NaN,13012,13163,13296
