n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
2598,2725,2867.9,3008.7,3147,3284.7,3417.1,NaN,3591.5,3729.6,3933.8,NaN,4015.8,4197.2,NaN,4379.9,4519.8,4730.7,NaN,4808.2,4991.4,NaN,5175.8,5318.4,5528.3,NaN,5609,5790.7,NaN,5980.8,6127,6323.9,6463.6,6566.8,6749,NaN,6936.4,7084.9,7293.6,NaN,7373.4,7556.2,NaN,7747,7891.5,8085,8233.1,8339.4,8514.5,NaN,8703.4,8847.8,9059.5,NaN,9140.9,9328.6,NaN,9521.4,9670.4,9874.9,10018,10120,10299,NaN,10490,10640,10810,10961,11071,11257,NaN,11443,11590,11805,NaN,11891,12088,NaN,12282,12442,12688,12828,12937,13148,NaN,13331,13477,13627,NaN,13788,13977,NaN,14167,14324,14563,14709,14824,15018,NaN,15216,15365,15563,NaN,15668,15873,NaN,16068
2635.9,2783.5,2935.9,3081.1,3221.2,3359,NaN,3550.2,3694.1,3811.6,NaN,3981.4,4087,NaN,4337.9,4476.2,4601,NaN,4777,4875.9,NaN,5126.9,5274.9,5399.4,NaN,5578.5,5677.1,NaN,5933,6086.1,6210.5,6401.3,6532.4,6636.8,NaN,6892.4,7040.2,7168,NaN,7342.2,7447.8,NaN,7700.4,7847.3,7977.3,8164.3,8304.8,8409.7,NaN,8658.2,8804.3,8929.9,NaN,9108.4,9219.4,NaN,9476.8,9622,9755.5,9947.7,10089,10201,NaN,10445,10584,10721,10889,11036,11151,NaN,11396,11544,11677,NaN,11855,11963,NaN,12236,12357,12526,12757,12902,13008,NaN,13286,13431,13561,NaN,13744,13881,NaN,14124,14259,14404,14642,14785,14923,NaN,15162,15319,15448,NaN,15633,15743,NaN,16020,16139
