n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2138.5,2339.2,2527.8,2693.8,2871.2,3033.7,3186,3344.4,3467.6,NaN,3655.5,3801.7,4021.8,NaN,4103.8,4293.4,NaN,4489.3,4646.5,4862.2,NaN,4943.5,5136.2,NaN,5330.5,5482.1,5700.1,NaN,5781.8,5990.5,6133.6,6256.6,6432.8,NaN,6633.1,6780.1,7001.8,NaN,7082.8,7276.5,NaN,7476.4,7633.8,7854.9,NaN,7934,8123.3,8271.7,8375.6,8565.6,NaN,8760.7,8920.3,9089.7,NaN,9236.4,9436.8,NaN,9636.1,9788.3,9949.3,NaN,10096,10305,10455,10610,10718,NaN,10916,11063,11289,NaN,11372,11565,NaN,11762,11912,12155,NaN,12240,12437,NaN,12637,12805,13030,NaN,13115,13322,NaN,13526,13676,13898,NaN,13984,14256,14404,14561,14681,NaN,14882,15035
2191.6,2383,2579.6,2739.1,2921.5,3108.9,3258.5,3420.6,NaN,3594.7,3737.5,3884.4,NaN,4070.8,4173.6,NaN,4443.3,4579.6,4729.5,NaN,4913.2,5020.1,NaN,5280.1,5421.9,5563.1,NaN,5748.9,5852.9,6058,6211.5,6346.5,NaN,6580.9,6721.6,6863.3,NaN,7050.4,7156.7,NaN,7425.5,7566.6,7722,NaN,7904,8004.8,8197.5,8344.8,8445.8,NaN,8715.3,8857.2,9002.1,NaN,9201,9327.8,NaN,9584.6,9725.8,9873.1,NaN,10061,10187,10377,10532,10689,NaN,10855,11005,11146,NaN,11340,11444,NaN,11716,11860,12000,NaN,12208,12315,NaN,12589,12743,12887,NaN,13082,13195,NaN,13474,13620,13760,NaN,13950,14057,14318,14487,14637,NaN,14835,14980,15120
