n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1973.5,2150.5,2321.7,3139.5,3302.3,3483.4,3819.3,4000.6,4145,4294.8,4454.2,4565,NaN,4756.1,4901.1,5118.3,NaN,5198.9,5393.3,NaN,5585.6,5731.7,5954,NaN,6037.3,6244.2,6390.3,6508.9,6695.2,NaN,6888.3,7041,7261.5,NaN,7341.8,7533.3,NaN,7729.8,7878.9,8104.6,NaN,8188.4,8391.5,NaN,8581,8736.1,8956.3,NaN,9037.2,9228,9380.1,9491.1,9678.5,NaN,9877.1,10031,10255,NaN,10337,10537,NaN,10743,10895,11120,NaN,11204,11416,11567,11721,11869,11986,NaN,12186,12340,12544,12697,12806,12990,NaN,13193,13348,13517,NaN,13663,13881,14037,14173,14351,NaN,14555,14712,14943,NaN,15030,15226,NaN,15428,15587,15958,16108,16226,16423,NaN,16628,16781,17019,NaN,17104,17321,17497,17648,17803,17927,NaN,18136,18290,18517,NaN,18602,18807,NaN,19009,19170,19369,NaN,19498,19725,NaN,19931,20087,20256,20510,20665,20786,20983,NaN,21188,21359,21528,21749,21913,22036,22226,NaN,22430,22593,22836,23001,23114,23316,NaN,23518,23696,23868,NaN,24031,24234,NaN,24442,24617
2004.4,2196.6,2395,3178.7,3340.9,3529.8,3864.1,4046.3,4208.1,4365.4,4524.6,NaN,4700.1,4843.8,4985.4,NaN,5166.2,5268.6,NaN,5533.1,5681.3,5816,NaN,6002.5,6108.5,6316.2,6463.7,6597.4,NaN,6839.6,6986.2,7122.2,NaN,7310.5,7415.7,NaN,7678.2,7826.2,7964.3,NaN,8155.2,8256.6,NaN,8533.9,8678.6,8820,NaN,9004.6,9105.4,9306.6,9454.8,9576.7,NaN,9825.6,9973.4,10117,NaN,10305,10412,NaN,10692,10842,10979,NaN,11170,11276,11485,11644,11801,11949,NaN,12138,12291,12426,12624,12769,12894,NaN,13141,13286,13433,NaN,13626,13756,13947,14115,14262,NaN,14503,14655,14798,NaN,14995,15106,NaN,15381,15525,15676,16027,16186,16319,NaN,16578,16724,16869,NaN,17071,17178,17393,17580,17731,17886,NaN,18100,18242,18378,NaN,18571,18677,NaN,18963,19107,19253,NaN,19459,19587,NaN,19879,20039,20172,20368,20579,20738,20879,NaN,21138,21293,21440,21640,21824,21995,22132,NaN,22382,22518,22675,22913,23079,23214,NaN,23474,23626,23781,NaN,23985,24127,NaN,24389,24547,24704
