n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1983.6,2124.5,2288.2,2407.2,2555.4,2705.7,2845.4,2978,NaN,3155.7,3292,3499.7,NaN,3575.4,3764,NaN,3952.8,4088.8,4285.9,NaN,4380.7,4568.6,NaN,4757,4901.6,5112.4,NaN,5205.5,5409.8,5554.5,5665.8,5830.9,NaN,6021.5,6165.2,6364.4,NaN,6455.3,6648.1,6789.1,6894.1,7079.2,NaN,7267.5,7407,7620,NaN,7700.3,7892.9,8039.2,8147.9,8332.3,NaN,8523,8668.6,8869.7,9011.5,9114.3,9297.7,NaN,9488.6,9631.7,9846.4,NaN,9925.5,10112,NaN,10305,10459,10665,10807,10909,11094,NaN,11285,11438,11650,NaN,11730,11924,NaN,12120,12276,12526,12670,12774,12970,NaN,13160,13304,13522,NaN,13602,13801,NaN,13996,14161,14378,NaN,14462,14666,NaN,14859,15015
2018.3,2182,2338,2471.8,2631.6,2778.8,2922.2,NaN,3111.2,3252.4,3375.7,NaN,3545.8,3647.8,NaN,3909.8,4052.6,4170.4,NaN,4348.8,4455.7,NaN,4712.8,4861.4,4986.4,NaN,5177.5,5327.2,5478,5628.6,5747.3,NaN,5973.5,6109.1,6248,NaN,6425,6523,6721.6,6858.5,6963.7,NaN,7221.2,7358.6,7488.8,NaN,7666.2,7769,7965.3,8107.5,8237.6,NaN,8477.8,8618,8750.3,8945.2,9079.3,9184,NaN,9440.3,9576.9,9717.9,NaN,9893.7,10002,NaN,10258,10399,10540,10739,10875,10980,NaN,11240,11379,11517,NaN,11698,11801,NaN,12073,12212,12365,12601,12740,12847,NaN,13113,13256,13387,NaN,13573,13673,NaN,13951,14088,14245,NaN,14427,14532,NaN,14812,14962,15094
