n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1998.2,2187.3,2331.2,2472.8,2617,2752.6,2864.6,NaN,3048.8,3187,3395.6,NaN,3473.4,3655.5,NaN,3843.5,3985.8,4198.4,NaN,4281.4,4464.7,NaN,4654.6,4796.9,4974.2,5120,5218.6,5400.8,NaN,5589.4,5733.7,5950.4,NaN,6029.6,6218,NaN,6409.7,6562.3,6806.2,NaN,6886.7,7069,NaN,7257.5,7399.4,7745,7879.9,7984.4,8159.6,NaN,8351.8,8501.8,8719.3,8866.6,8972.8,9162,NaN,9353.6,9503.4,9707.6,NaN,9803.8,10036,NaN,10229,10377,10673,10814,10918,11107,NaN,11305,11458
2086.8,2238.4,2392.6,2547.2,2692.4,2827.2,NaN,3002.1,3143.1,3270.1,NaN,3446.5,3544.8,NaN,3799.2,3946.5,4069.2,NaN,4250.4,4358.6,NaN,4610.6,4755.5,4880.3,5052.8,5190.8,5299.8,NaN,5547.9,5691.4,5816.5,NaN,6002.9,6109.5,NaN,6363.1,6511.4,6646.2,NaN,6857.7,6962.4,NaN,7210.4,7355.8,7482.1,7816.5,7952.2,8061.4,NaN,8310,8458.7,8586.8,8794.7,8940.1,9048.9,NaN,9309.6,9455.3,9588.5,NaN,9773,9882.2,NaN,10184,10331,10466,10743,10888,10999,NaN,11260,11397,11539
