n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l
1981.6,2127.2,2346.2,2689.4,2838.8,3076.5,3265.1,3439.8,3610.5,3755.7,3911.8,4059.9,4185.9,NaN,4374.8,4525.5,4703.5,NaN,4831.8,5024.2,NaN,5222,5392.8,5632,NaN,5713.7,5919.4,NaN,6125.2,6287,6515.9,NaN,6600.2,6809.1,NaN,7014.4
2014,2176.3,2391.1,2742.9,2885.4,3123.9,3301.8,3501.7,3680.4,3831.8,3987.9,4138.3,NaN,4324.7,4477.2,4613.3,NaN,4795.3,4924.4,NaN,5174.8,5325.5,5478.9,NaN,5683.4,5788.4,NaN,6068.4,6216.5,6372,NaN,6565.3,6671.7,NaN,6960.8,7092
