n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2457.9,2599.3,2744.6,2885.9,3026.9,3145.9,NaN,3332.4,3470.7,3677.4,NaN,3758.2,3940.5,NaN,4127.7,4269.8,4461.5,NaN,4573.8,4750.8,4899.1,5005.4,5189.8,NaN,5378.6,5522.1,5737.7,NaN,5816.2,5998.9,NaN,6188.6,6332.2,6544.5,6686.5,6787.2,6965,NaN,7154.7,7292.7,7478.7,NaN,7584.8,7762.5,NaN,7953.4,8097.8,8290.5,NaN,8397.1,8590.4,NaN,8780,8924.5,9122.4,NaN,9231.7,9414.4,NaN,9607.2,9752.4,9966.4,10109,10212,10394,NaN,10588,10741,10938,NaN,11044,11247,11398,11546,11666,NaN,11857,12002,12220,NaN,12300,12491,NaN,12689,12844
2504.9,2663.5,2820.2,2964.4,3102.1,NaN,3288.3,3428,3557.7,NaN,3722.6,3834.3,NaN,4083,4232.8,4357.3,NaN,4537.3,4653.6,4829.5,4974.3,5078.7,NaN,5332.7,5481.9,5603.7,NaN,5789.3,5894,NaN,6143.1,6288.9,6418.2,6620,6757,6868.2,NaN,7109.1,7254.7,7377.5,NaN,7553.1,7667,NaN,7909,8055.6,8181.3,NaN,8364.3,8479.6,NaN,8736.6,8884.3,9010.6,NaN,9198.4,9309.1,NaN,9565.4,9714.3,9840.2,10046,10184,10295,NaN,10541,10691,10827,NaN,11010,11129,11318,11478,11627,NaN,11813,11959,12088,NaN,12271,12386,NaN,12643,12793,12939
