n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2221.2,2383.5,2531.2,2673.1,2839.6,2993.7,3134.6,3291.9,3440.7,3549.2,NaN,3733.8,3881.4,4089,NaN,4168.2,4354.7,NaN,4546.9,4694.3,4846.2,NaN,4989.9,5170.3,5316,5417.2,5609.7,NaN,5805.7,5959.2,6169.6,NaN,6249.9,6440.6,6588.8,6697,6886.2,NaN,7083,7227.2,7451,NaN,7533.2,7721.1,NaN,7915,8059.6,8279,NaN,8362.7,8576.7,8725.7,8869.1,8981.5,NaN,9176,9323.9,9533.8,NaN,9619,9818.5,NaN,10013,10173,10396,NaN,10475,10678,NaN,10877,11027,11245,NaN,11325,11523,11674,11785,11971,NaN,12159,12309,12501,12662,12768,12950,NaN,13144,13298,13498,NaN,13605,13797,NaN,13997,14147,14422,14567,14678,14876,NaN,15077,15246,15464,15777,15926,16075,16212,NaN,16409,16558,16708,NaN,16860,17071,NaN,17268,17445
2274.4,2438.2,2595.3,2732.3,2897.1,3053.8,3199.3,3366.3,3511.7,NaN,3686.9,3823.2,3961.1,NaN,4136.6,4235.5,NaN,4501.4,4646.6,4778.9,NaN,4953.7,5075,5243,5382.7,5487,NaN,5758.4,5899.2,6035.5,NaN,6220.8,6318.7,6516.9,6659.6,6786.4,NaN,7038.2,7170.6,7309.8,NaN,7499.5,7603.1,NaN,7864.9,8006.1,8139.3,NaN,8327.5,8454,8646.7,8800.2,8943.1,NaN,9131.3,9268.8,9406.8,NaN,9584.3,9692.4,NaN,9967.8,10114,10254,NaN,10446,10557,NaN,10827,10978,11112,NaN,11293,11397,11601,11746,11876,NaN,12112,12260,12390,12581,12735,12840,NaN,13100,13240,13380,NaN,13568,13694,NaN,13946,14096,14233,14496,14637,14768,NaN,15030,15172,15331,15540,15847,16004,16156,NaN,16362,16502,16641,NaN,16823,16951,NaN,17214,17360,17525
