n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1826.8,1996,2214.3,2485,2728.3,2902.8,3068.9,3235.8,3385.1,3519.3,NaN,3710.2,3857.1,4030.1,NaN,4163.9,4356.9,NaN,4551.1,4699.3,4922.5,NaN,5006.9,5190.1,5351.3,5457.2,5652.6,NaN,5848.7,6006.4,6183.4,6343,6451,6635.3,NaN,6829,6978.5,7201.4,NaN,7289,7483.1,NaN,7681.2,7831.9,8004.4,NaN,8150.4,8349,NaN,8548.9,8701.5,8903.5,9082,9191.2,9383.6,NaN,9584,9744.1,9910.7,NaN,10057,10257,NaN,10456,10611,10834,NaN,10918,11118,NaN,11318,11476,11638,NaN,11788,12017,12176,12287,12479,NaN,12681,12839,13044,13207,13313,13510,NaN,13716,13885,14147,14318,14424,14617,NaN,14818,14980,15202,NaN,15289,15509,15673,15802,15987,NaN,16189,16351,16532,NaN,16699,16892,NaN,17095,17248,17487,NaN,17576,17779,NaN,17978,18133,18302,NaN,18460,18700,18870,18997,19218,NaN,19418,19582
1860.7,2053.6,2252.9,2529.5,2788.6,2969.7,3139.7,3306.9,3459.8,NaN,3658.7,3802.7,3941.8,NaN,4128.6,4256.9,NaN,4504.2,4642.2,4780.1,NaN,4973.2,5078,5265.7,5423.1,5528.3,NaN,5801.2,5937.1,6087,6261.8,6417.3,6524.8,NaN,6787,6932.2,7060.1,NaN,7254.2,7365.6,NaN,7632.2,7778.5,7915.4,NaN,8111.5,8240.9,NaN,8501.5,8640.1,8785.5,8981.9,9153.6,9282.7,NaN,9538.4,9681.7,9823.3,NaN,10021,10155,NaN,10407,10554,10694,NaN,10885,10998,NaN,11268,11414,11559,NaN,11751,11880,12091,12251,12362,NaN,12633,12780,12926,13126,13282,13401,NaN,13665,13817,13970,14223,14395,14506,NaN,14772,14913,15063,NaN,15256,15374,15583,15751,15894,NaN,16142,16279,16432,NaN,16653,16798,NaN,17046,17188,17335,NaN,17541,17657,NaN,17932,18077,18222,NaN,18421,18553,18762,18949,19088,NaN,19374,19502,19662
