n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2783.6,2903.4,3046.7,3207.1,3370.8,3505.1,3655,3798.2,3921.2,NaN,4101.9,4247.8,4457.3,NaN,4539.7,4720.1,NaN,4912.9,5062.5,5216.5,NaN,5370.2,5557.7,NaN,5756.2,5914.1,6145.1,NaN,6229.6,6404.5,6557.2,6672.8,6860.1,NaN,7059.8,7213.3
2816.5,2961.5,3104.3,3263.1,3463.3,3589.5,3730.6,3877.7,NaN,4049.6,4208.9,4329.5,NaN,4508.8,4617.5,NaN,4868.9,5012.6,5147.9,NaN,5333.6,5465,NaN,5709.2,5859,5996.8,NaN,6195.2,6308.6,6481.3,6633,6745.2,NaN,7010.2,7163.5,7298.1
