n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n
3464.9,3629.2,3769.9,3920.6,4067.4,4204.1,4342.8,4454.2,NaN,4635.5,4776.2,4986,NaN,5063.1,5242.1,NaN,5432.3,5580,5775.5,NaN,5873.4,6050.1,6197.1,6301.7,6488.3,NaN,6678.6,6825,7051.9,NaN,7132.9,7322.1,NaN,7514.3,7657.3,7860.3,NaN,7957.2,8136,8285.2,8386.2,8581.2,NaN,8772.1,8925.4,9138.4,9284.4,9387.8,9578.1,NaN,9769.7,9923.8,10122,NaN,10218,10416,NaN,10610,10766,11141,11277
3527.3,3686.2,3829.8,3992.4,4144.8,4281,4414.9,NaN,4581.4,4739.7,4861.9,NaN,5033.6,5142.2,NaN,5387.5,5532.4,5663.6,NaN,5843.3,5949.7,6125.2,6272.2,6377,NaN,6626.9,6777.8,6906,NaN,7101.6,7206.1,NaN,7468.6,7615,7739.3,NaN,7924.3,8030.7,8208.3,8351.5,8464.6,NaN,8724.9,8874.7,9011.4,9211.3,9357.7,9461.2,NaN,9724.6,9869.7,10011,NaN,10190,10294,NaN,10564,10716,10850,11209,11455
