n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1983.8,2178.8,2336.4,2486.1,2630.5,2780,2925.1,3067.2,3172.6,NaN,3364.3,3505.1,3717.2,NaN,3801.2,3985.3,NaN,4183.5,4336.1,4551.2,NaN,4632.4,4831.6,4983.1,5092.4,5297.2,NaN,5494,5647.1,5869.1,NaN,5951,6151.3,NaN,6348.8,6504.3,6720.1,NaN,6803.7,7002.4,7154.5,7255.7,7444.8,NaN,7641.8,7797.1,8035.7,8173.9,8279.9,8476.4,NaN,8677.1,8827.2,9041.5,NaN,9124.5,9318.5,NaN,9515.6,9674.5,9966.1,10108,10214,10398,NaN,10595,10749,10906,NaN,11055,11255,NaN,11455,11628
2040.1,2235.2,2394.8,2550.5,2704.1,2854.8,3001.4,3137.2,NaN,3302.8,3447.7,3587.7,NaN,3766.5,3871.3,NaN,4133.8,4276.5,4418.4,NaN,4600.9,4703.4,4904,5054.3,5180.2,NaN,5446.3,5586,5730.6,NaN,5921.7,6020.7,NaN,6299.8,6440.9,6586,NaN,6771,6872.8,7077.6,7221.3,7329,NaN,7596.2,7736.5,7882.5,8113,8247.9,8355.1,NaN,8624.2,8778.8,8910.7,NaN,9093.4,9199.1,NaN,9467.4,9618.7,9765.1,10039,10179,10316,NaN,10544,10692,10836,NaN,11019,11155,NaN,11406,11550,11712
