n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1970.1,2153.8,2328.7,2469.8,2619.8,2764.3,2894.4,NaN,3085.2,3228.8,3440,NaN,3520.6,3699.2,NaN,3894.4,4043.9,4264.6,NaN,4348.2,4536.3,NaN,4734.4,4890.2,5108,NaN,5189.2,5369,5519.4,5632.4,5830.1,NaN,6031.5,6186.8,6350.2,NaN,6501.8,6723.6,6882.6,7024.5,7175.2,7297.2,NaN,7492.2,7650.8,7806.2,NaN,7961.4,8160.2,NaN,8370.1,8517.9,8678.6,NaN,8834.7,9042.8,NaN,9239.5,9403.1,9618,9772.2,9876.5,10074,NaN,10276,10431,10598,NaN,10738,10968,11131,11289,11464,11594,NaN,11789,11952,12175,NaN,12270,12488,NaN,12696,12854,13020,NaN,13174,13409,13559,13672,13867,NaN,14073,14249
2015.6,2204.1,2387.2,2546.4,2697.1,2839.8,NaN,3036.5,3177.6,3313.8,NaN,3488.2,3587.5,NaN,3843.7,3989.9,4125.7,NaN,4314.2,4416,NaN,4685,4836.9,4970.2,NaN,5158.8,5260.6,5442.1,5593.1,5723.1,NaN,5980.4,6129.7,6273.8,NaN,6455.3,6592,6783.1,6957.3,7100.9,7252,NaN,7446.6,7593.3,7732.6,NaN,7920.3,8052.3,NaN,8310.9,8465.8,8601.4,NaN,8794.5,8927.8,NaN,9188.5,9329.6,9486.3,9694.5,9844.6,9947.9,NaN,10224,10377,10515,NaN,10702,10832,11036,11208,11367,11543,NaN,11743,11887,12036,NaN,12228,12359,NaN,12642,12797,12938,NaN,13134,13265,13476,13634,13766,NaN,14020,14165,14335
