n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2258.4,2417.3,2957.3,3125.5,3460.4,3753.9,3900.3,4037.4,4174.6,4316.2,4439.8,NaN,4627.8,4768.1,4977.3,NaN,5057.2,5229.7,NaN,5415.3,5560,5772.8,NaN,5852,6024.5,6170,6272.5,6448.5,NaN,6640.4,6795.2,7010.3,NaN,7092.5,7278.8,NaN,7471.3,7625,7808.9,7956.5,8068.5,8243.8,NaN,8435.8,8584.8,8778,8920.8,9025.3,9212.4,NaN,9404.5,9556.9,9767.7,NaN,9851.2,10040,NaN,10240,10392,10637,10771,10882,11074,NaN,11271,11415,11655,NaN,11737,11925,NaN,12126,12281
2302,2464.5,2998,3312,3492.8,3799,3960.7,4111.6,4250.6,4386.4,NaN,4584.5,4732,4854.5,NaN,5022.7,5126.9,NaN,5372.3,5516.6,5644.9,NaN,5825.5,5930.1,6102.7,6240.1,6352.7,NaN,6597.9,6744.4,6877.4,NaN,7060.6,7173.3,NaN,7427.5,7576.6,7708.8,7884.8,8031.1,8150.4,NaN,8389.6,8537.4,8667.4,8850.2,8994.1,9105.2,NaN,9359.2,9506.6,9639,NaN,9817.7,9930.6,NaN,10189,10345,10477,10683,10846,10975,NaN,11225,11371,11504,NaN,11706,11815,NaN,12078,12218,12365
