n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2623.5,2778.2,2923.1,3072.4,3216.3,3347,NaN,3541.2,3682.4,3889.8,NaN,3967.2,4152,NaN,4345,4500.8,4699.6,NaN,4793.9,4989.4,NaN,5180.4,5335.3,5546.5,NaN,5625.7,5826.5,5972.2,6084.5,6271.9,NaN,6473.4,6624.1,6837,NaN,6924,7115.6,7267.1,7372.3,7573.8,NaN,7767.2,7923,8330,8469.2,8612.1,8730.6,NaN,8925.8,9075.5,9290.1,NaN,9370.6,9562.1,NaN,9777,9948.1
2673.5,2836.6,2994.3,3145.8,3290,NaN,3495.3,3634.7,3765.3,NaN,3936.6,4034.8,NaN,4297.5,4439.7,4579.4,NaN,4761.7,4862.2,NaN,5132.9,5270.2,5418.2,NaN,5594.6,5695.8,5896.8,6041.5,6169.6,NaN,6422.2,6569.2,6708.3,NaN,6889.5,6996.2,7188.4,7336.4,7459.8,NaN,7718.2,7861.1,8009.5,8394.2,8544.5,8687.3,NaN,8880.2,9023.8,9158.6,NaN,9338.3,9440.8,NaN,9711.9,9874.2,10030
