n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2989.2,3133.4,3269.2,3424.3,3567.1,3718.7,3864.3,3970.9,NaN,4152.6,4296.6,4510.1,NaN,4588.3,4773.9,NaN,4964.1,5108.9,5321.9,NaN,5403.4,5583.8,NaN,5777.3,5922.2,6104.7,6260.9,6364.2,6548,NaN,6740.9,6887.2,7101.8,NaN,7183.7,7367.8,NaN,7561.5,7708.8,7903.9,NaN,8004.4,8180.8,8335.1,8444.6,8626.6,NaN,8822,8968.4,9187.4,NaN,9273.8,9465.8,9615.9,9762.8,9914,10035,NaN,10226,10375,10650,10794,10898,11084,NaN,11277,11428,11647,NaN,11734,11944,12098,12241,12396,12519,NaN,12707,12862,13081,NaN,13167,13382,13533,13681,13831,13947,NaN,14142,14297,14523,14677,14783,14980,NaN,15178,15328,15808,15954,16101,16246,16373,NaN,16568,16721,16879,NaN,17034,17226,NaN,17425,17583
3030.1,3184.9,3328.8,3486.2,3637.4,3792.6,3927.4,NaN,4095.9,4254.2,4380.5,NaN,4560.1,4663.5,NaN,4923.9,5065.8,5191.5,NaN,5370.7,5478.1,NaN,5732.6,5878.9,6008.5,6180.6,6334.1,6441.6,NaN,6693.8,6847.1,6971,NaN,7153,7260,NaN,7514.5,7660.8,7793.8,NaN,7975.4,8084.2,8258.1,8409.9,8519.3,NaN,8776.4,8930.9,9057.3,NaN,9239.5,9350.1,9542.8,9691.1,9841.6,9992.9,NaN,10183,10336,10461,10722,10864,10978,NaN,11233,11381,11517,NaN,11700,11816,12017,12180,12321,12477,NaN,12647,12813,12950,NaN,13133,13250,13461,13612,13763,13914,NaN,14084,14252,14384,14601,14755,14863,NaN,15130,15276,15413,15880,16032,16177,16324,NaN,16522,16672,16806,NaN,16996,17133,NaN,17378,17530,17668
