n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
3751.1,3891.9,4040.5,4183.6,4303.2,NaN,4484.2,4627.8,4839.2,NaN,4917.7,5107.6,NaN,5297.2,5443.2,5653,NaN,5730.1,5913.3,NaN,6103.9,6253.9,6466.9,NaN,6545.2,6729.3,NaN,6917.3,7063.6,7276.7,NaN,7357.3,7548.7,NaN,7730.9,7877.9,8095.8,NaN,8173.2,8380.5,8525.4,8634,8803.4,NaN,8995.2,9145,9364.1,NaN,9443.8,9627.4,NaN,9821.3,9970.1,10189,NaN,10268,10456,NaN,10649,10794,10992,11140,11247,11434,NaN,11627,11793,12024,12174,12282,12463,NaN,12655,12808,13034,NaN,13118,13313,NaN,13510,13662,13888,14036,14140,14328,NaN,14526,14694,15300,15437,15585,15727,15833,NaN,16030,16174,16391,NaN,16471,16662,NaN,16857,17013,17235,17383,17487,17683,NaN,17880,18034,18237,NaN,18333,18545,18708,18825,19023,NaN,19219,19370,19755,19895,20028,20211,NaN,20406,20564,20782,NaN,20866,21077,NaN,21278,21435,21653,NaN,21742,21952,NaN,22154,22319,22548,22696,22806,22993,NaN,23197
3807.5,3962.6,4110.6,4255.2,NaN,4434,4569.1,4711.7,NaN,4884.9,4987,NaN,5252.5,5394.4,5526.5,NaN,5698,5803.1,NaN,6059.9,6194.4,6336.9,NaN,6513.7,6616.9,NaN,6873,7002.8,7144.3,NaN,7324.6,7429.1,NaN,7685.3,7818.9,7958.8,NaN,8142,8247.5,8448,8597.4,8719.2,NaN,8948.3,9079.4,9225.2,NaN,9410.5,9513.4,NaN,9774.8,9917.7,10050,NaN,10240,10350,NaN,10606,10742,10875,11069,11210,11343,NaN,11583,11720,11874,12102,12247,12353,NaN,12609,12750,12893,NaN,13083,13188,NaN,13464,13600,13745,13962,14102,14211,NaN,14478,14622,14774,15366,15514,15657,15801,NaN,15970,16125,16258,NaN,16441,16542,NaN,16809,16949,17097,17306,17453,17568,NaN,17832,17974,18119,NaN,18301,18419,18618,18788,18915,NaN,19170,19315,19451,19820,19972,20119,NaN,20360,20498,20649,NaN,20834,20946,NaN,21227,21373,21517,NaN,21703,21830,NaN,22105,22239,22398,22625,22769,22897,NaN,23151,23267
