n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1797.7,1979.8,2126.5,2295.5,2454.5,2605,2761.2,2876.9,NaN,3064.6,3213.2,3430.8,NaN,3513.4,3705.9,NaN,3901.6,4051.1,4272.9,NaN,4354.7,4544.1,NaN,4741,4895.9,5059.5,5220.3,5328.1,5521.5,NaN,5717.8,5868.1,6090.8,NaN,6175.6,6367.7,NaN,6562.6,6722.5,6944.1,NaN,7025.2,7230.8,NaN,7424,7574.8,7757.2,7918.2,8028,8217.6,NaN,8415.4,8569.7,8724.5,NaN,8895.4,9083.7,NaN,9282.1,9434.4,9662.4,NaN,9750.3,9955.9,NaN,10156,10314,10514,10667,10778,10967,NaN,11166,11321,11482,NaN,11634,11830,NaN,12028,12196,12407,12569,12675,12865,NaN,13068,13222,13432,NaN,13529,13731,NaN,13933,14084,14308,NaN,14396,14606,NaN,14809,14972
1838.8,2016.1,2183.3,2365.8,2530.4,2681.8,2834.2,NaN,3018,3159.1,3299.2,NaN,3479.8,3589.3,NaN,3855,4002.8,4139.8,NaN,4324.6,4430.6,NaN,4692,4843.9,4979.1,5142.4,5291.3,5402.2,NaN,5670.7,5821.3,5952.5,NaN,6141.1,6250.8,NaN,6511.3,6666.8,6809.2,NaN,6995.8,7103.9,NaN,7372.8,7526.5,7661.1,7838.8,7993.7,8103.8,NaN,8365.9,8521.2,8655.3,NaN,8845.6,8990,NaN,9235.8,9386.1,9521.7,NaN,9715.5,9826.8,NaN,10108,10260,10401,10592,10742,10855,NaN,11118,11272,11407,NaN,11597,11729,NaN,11981,12135,12277,12488,12642,12750,NaN,13017,13163,13308,NaN,13495,13609,NaN,13877,14037,14169,NaN,14362,14471,NaN,14761,14894,15060
