n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1972.3,2125.5,2288.9,2456.2,2614.4,2768,2924.8,3055.8,NaN,3243.3,3390.3,3603.4,NaN,3686.8,3872.8,NaN,4064.4,4220.9,4388.5,NaN,4523,4736.1,4885.5,4991.8,5175.9,NaN,5370.6,5521.2,5743.2,NaN,5831.6,6028.7,6183.7,6290.1,6474.6,NaN,6668.1,6825.2,6981,NaN,7129,7318.4,NaN,7514.4,7665.7,7829.9,NaN,7976.1,8158.4,8305.2,8412.6,8594.4,NaN,8790.9,8957,9153.7,9314,9430.7,9614.4,NaN,9813.7,9964.4,10184,NaN,10270,10460,10621,10731,10936,NaN,11130,11284,11520,NaN,11602,11795,NaN,11996,12163,12384,12536,12648,12854,NaN,13053,13205,13431,NaN,13514,13732,13894,14008,14217,NaN,14416,14575
2019.4,2157.8,2328.6,2518.5,2689.2,2844,3002.7,NaN,3192.6,3340.6,3471.9,NaN,3654,3758.1,NaN,4015.5,4164.8,4302.3,NaN,4486,4613,4816.7,4959.2,5066.3,NaN,5321.4,5460.7,5603.2,NaN,5793.4,5921.7,6102.9,6254.7,6364,NaN,6621.1,6773.4,6906.8,NaN,7092.3,7217.6,NaN,7459.3,7607.8,7749.6,NaN,7940.4,8067.5,8233,8377.4,8485.1,NaN,8742.9,8887.9,9036.3,9233.8,9388.3,9523,NaN,9767.3,9909.6,10048,NaN,10236,10340,10536,10694,10823,NaN,11082,11230,11368,NaN,11570,11676,NaN,11941,12082,12241,12465,12613,12725,NaN,13004,13144,13289,NaN,13483,13588,13809,13969,14102,NaN,14368,14516,14660
