n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
3595.4,3806.3,3958.3,4100,4236.4,4338.8,NaN,4526.8,4664.4,4873.1,NaN,4952.5,5148,NaN,5335.3,5463.9,5679.1,NaN,5755.7,5936.3,NaN,6127.6,6272.5,6480.1,NaN,6560.6,6746.6,NaN,6935.1,7084,7298.7,NaN,7377.3,7562.5,NaN,7752.3,7895.8,8090.4,8233.5,8331.9,8517,NaN,8707.3,8854.2,9069.2,NaN,9152.1,9334.7,NaN,9528,9673.7,9874.8,NaN,9968.2,10175,10317,10470,10570,NaN,10761,10906,11128,NaN,11210,11400,NaN,11594,11743,11958,NaN,12041,12227,NaN,12421,12573,12810,12953,13054,13242,NaN,13435,13584,13807,NaN,13887,14072,NaN,14268,14415,14634,NaN,14717,14910,NaN,15109,15262,15482,15631,15733,15936,NaN,16131,16282,16761,16900,17042,17157,NaN,17351,17502,17716,NaN,17797,17987,NaN,18187,18337,18674,18812,18919,19105,NaN,19307,19457,19690,NaN,19771
3682.6,3860.5,4034.4,4171.2,4306.1,NaN,4473.4,4625.5,4746.9,NaN,4925.1,5023.4,NaN,5283.4,5405.2,5561,NaN,5727.6,5818.8,NaN,6083.2,6221.8,6350,NaN,6529.3,6631.5,NaN,6889.8,7024.1,7163.5,NaN,7346.7,7446.7,NaN,7705.3,7844.9,7971.5,8160,8299,8402.7,NaN,8662.8,8798.2,8934.3,NaN,9117.4,9219.2,NaN,9476.4,9626.9,9756.3,NaN,9937.8,10040,10243,10397,10541,NaN,10704,10851,10985,NaN,11176,11280,NaN,11549,11690,11824,NaN,12008,12113,NaN,12379,12512,12655,12885,13023,13124,NaN,13388,13519,13666,NaN,13858,13954,NaN,14218,14370,14495,NaN,14685,14789,NaN,15059,15205,15346,15554,15700,15818,NaN,16085,16228,16365,16825,16977,17120,NaN,17308,17448,17581,NaN,17766,17868,NaN,18134,18286,18421,18744,18884,18989,NaN,19256,19403,19540,NaN,19740,19842
