n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f
1991.8,2115.5,2272.2,2424.3,2546.8,2700.4,2853.2,3006.4,3118.3,NaN,3312.3,3454.3,3666.7,NaN,3744.8,3937.7,NaN,4132.2,4281.2,4496.2,NaN,4577.7,4778.1,4928.8,5076.1,5190.9,NaN,5377,5526.9,5743.7,NaN,5825.9,6013.8,NaN,6212.4,6361.3,6579.2,NaN,6661.1,6864.6,7018.5,7175.3,7297.4,7477.2,NaN,7677.4,7827.7,8049.2,NaN,8133.7,8320.1,NaN,8515.8,8669.9,8880.2,9029.6,9142.2,9329.9,NaN,9530.7,9680,9901.9,NaN,9986.9,10191,10340,10489,10621,NaN,10817,10974,11200,NaN,11284,11520,11673,11804,11986,NaN,12184,12334,12568,NaN,12651,12855,13017,13171,13284,NaN,13481,13632,13880,NaN,13969,14184,14335,14493,14636,NaN,14832,14986,15150,NaN,15297,15523,15688,15834,15986,NaN,16191,16344,16508,NaN,16664,16881,NaN,17080,17238,17406,NaN,17556,17761,17925,18045,18278,18432,18572,18765,NaN,18970,19134,19350,NaN,19456,19672,19834,19973,20164,NaN,20371,20544,20772,20954,21074,21337,21499,21650,21762,NaN,21964,22117,22346,NaN,22432
2027.1,2181.1,2338,2488.6,2598.3,2767.9,2927.2,3082.4,NaN,3262.2,3395.8,3540,NaN,3717.5,3818.7,NaN,4086,4227.1,4362.3,NaN,4546.8,4648.6,4850.8,5007.1,5154.9,NaN,5319.9,5467.4,5609.6,NaN,5792.5,5897.3,NaN,6162.4,6305.9,6443.8,NaN,6631.3,6734,6939.6,7096,7253.7,7385.9,NaN,7629.1,7781.1,7912.1,NaN,8101,8203.1,NaN,8468.1,8610.6,8754.9,8953.8,9104.5,9233.1,NaN,9482.1,9634.5,9762.9,NaN,9952.2,10058,10260,10418,10565,NaN,10769,10915,11059,NaN,11251,11359,11585,11752,11898,NaN,12137,12276,12422,NaN,12619,12722,12929,13098,13248,NaN,13433,13582,13720,NaN,13933,14064,14254,14416,14576,NaN,14787,14928,15074,NaN,15260,15396,15596,15768,15917,NaN,16140,16296,16430,NaN,16624,16756,NaN,17026,17185,17325,NaN,17518,17650,17838,18006,18138,18349,18511,18664,NaN,18919,19068,19222,NaN,19419,19551,19747,19913,20068,NaN,20319,20473,20627,20847,21027,21167,21401,21576,21728,NaN,21901,22065,22203,NaN,22398,22507
