n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b
3231.8,3372.8,3520.2,3676.3,3831.4,3976.8,4121.4,4233.8,NaN,4414.7,4557.2,4768.4,NaN,4847.8,5032.4,NaN,5224.4,5371.3,5586.7,NaN,5667.5,5848.2,5994.4,6096.1,6278.4,NaN,6469.3,6616.2,6786.4,6933.4,7041.2,7221.5,NaN,7412.7,7559.9,7777.6,NaN,7858.5,8043,NaN,8237.5,8383.5,8584.6,NaN,8680.7,8877.5,NaN,9065.3,9215.7,9380.4,9531.3,9644.1,9827.4,NaN,10024,10181,10383,NaN,10485,10674,10828,10938,11130,NaN,11327,11481,11684,NaN,11787,11973,NaN,12170,12322,12529,12679,12785,12992,NaN,13186,13342,13585,13739,13844,14023,NaN,14218,14381,14606,NaN,14694,14888,NaN,15086,15248,15449,NaN,15549,15756,15907,16053,16192,NaN,16388,16546,16724,NaN,16847,17045,NaN
3281.8,3425.8,3581.3,3740.9,3902.7,4052.8,4195.7,NaN,4358.3,4515.7,4639.9,NaN,4816.1,4921.2,NaN,5176.8,5324.1,5455.3,NaN,5636.8,5745.6,5924.6,6066.5,6171.1,NaN,6424.7,6569.3,6699.4,6863.7,7007.8,7111.6,NaN,7367.9,7515.6,7649,NaN,7828.9,7934.9,NaN,8192.2,8344.8,8466.3,NaN,8649.6,8754.7,NaN,9015.4,9159.6,9298.1,9459,9607.7,9720.3,NaN,9977.4,10132,10265,NaN,10451,10560,10751,10903,11017,NaN,11281,11430,11565,NaN,11754,11865,NaN,12122,12275,12410,12605,12752,12862,NaN,13143,13293,13429,13661,13810,13924,NaN,14177,14324,14465,NaN,14658,14771,NaN,15039,15163,15330,NaN,15515,15626,15826,15987,16131,NaN,16343,16488,16632,NaN,16816,16929,NaN,17200
