n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2127.5,2291.8,2486.8,2651.1,2800.8,2944.1,3081.4,3191.8,NaN,3374,3518.8,3729.8,NaN,3810.6,3986.3,NaN,4176.3,4323.8,4523.1,NaN,4619.2,4788.4,4933.3,5035,5223.2,NaN,5408.1,5558.5,5772.5,NaN,5852,6054.4,NaN,6245,6391.5,6609.5,NaN,6690.8,6877.5,NaN,7067.8,7215,7428.5,NaN,7509,7695,NaN,7888.6,8035.8,8238.2,NaN,8340.1,8535.6,NaN,8726.4,8886.5,9107.8,NaN,9195.6,9406.7,9554.5,9670.8,9852.5,NaN,10046,10201,10418,NaN,10503,10703,NaN,10896,11047
2178.6,2338.7,2540.3,2715.8,2875.3,3018.7,3156.7,NaN,3319.7,3473.1,3602.6,NaN,3781.5,3876.9,NaN,4134.1,4281.6,4408.2,NaN,4591.3,4687,4861.3,5007.4,5110.8,NaN,5364.4,5511.2,5640.7,NaN,5823.2,5925.7,NaN,6194.4,6344.8,6475.3,NaN,6658.2,6760.9,NaN,7019.5,7172.4,7300.4,NaN,7478.9,7588.7,NaN,7846.7,7991.8,8120.4,NaN,8307.9,8418.1,NaN,8679.2,8832.5,8971.2,NaN,9157.3,9274.8,9479.7,9632.1,9770.5,NaN,10001,10144,10285,NaN,10472,10584,NaN,10853,10996,11135
