n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1990.4,2167.3,2324.6,2481.9,2628.3,2773.6,2900.2,NaN,3083.2,3227.7,3440.7,NaN,3521.3,3706.4,NaN,3898.9,4044.5,4262.2,NaN,4341,4528.5,NaN,4722.9,4874.9,5066.6,5209.5,5316.8,5500.6,NaN,5696.3,5872.4,6045.6,6242,6391.3,6530.1,NaN,6720.5,6866.1,7084.5,NaN,7168.2,7378.9,7532.4,7660.9,7850.5,NaN,8042,8192.8,8414,NaN,8494.1,8684.6,NaN,8881.8,9035.8,9245.9,9402,9522.7,9722.8,NaN,9920.9,10072,10232,NaN,10469,10625,10778,10920,NaN,11115,11264,11490,NaN,11572,11785,11941,12059,12248,NaN,12446,12603,12798,NaN,12908,13118,13277,13434,13583,13689,NaN,13889,14046,14389,14534,14709,14863,15060,NaN,15259,15410,15647,NaN,15734,15933,NaN,16131,16285,16485,16660,16775,16988,NaN,17189,17335
2041.1,2222.4,2396.9,2551.2,2703.1,2847.2,NaN,3037.4,3184,3314.4,NaN,3487,3590.2,NaN,3854.4,3997.8,4130,NaN,4311.9,4409.6,NaN,4676.6,4821.8,4956.7,5144.7,5285.8,5399.8,NaN,5648.1,5796.8,5956.7,6206.2,6323.8,6468.6,NaN,6678.7,6824.4,6955,NaN,7136.5,7247,7457.1,7612.8,7763.4,NaN,7994.2,8145.1,8282.2,NaN,8463.6,8579.1,NaN,8837.2,8986.6,9123.6,9327.1,9480.3,9620.6,NaN,9875.2,10030,10159,NaN,10350,10546,10705,10856,NaN,11070,11220,11354,NaN,11543,11650,11856,12018,12160,NaN,12400,12550,12690,NaN,12876,12985,13191,13353,13515,13654,NaN,13828,13986,14132,14460,14606,14785,14938,NaN,15216,15358,15500,NaN,15700,15807,NaN,16083,16235,16372,16568,16737,16867,NaN,17142,17289,17426
