n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f
2126.8,2321.8,2486.7,2726,3208.7,3388,3539.7,3699.9,3807.4,NaN,3997.7,4146.5,4365.8,NaN,4449.8,4657.2,NaN,4853.5,5014.8,5207.2,5365.7,5478.5,5662.4,NaN,5862.1,6010.7,6232.4,NaN,6313.6,6516.5,6674.1,6832.6,6949.2,NaN,7144.8,7296.9,7520.8,NaN,7606,7824,NaN,8022.7,8175.3,8414.9,NaN,8497.8,8690.2,8847.3,8952.5,9175.6,9328.2,9481.2,9618.8,NaN,9817,9967.8,10202,10362,10471,10672,NaN,10873,11024,11248,NaN,11329,11530,11694,11806,12009,NaN,12208,12369,12589,NaN,12675,12891,13051,13172,13408,13568,13697,13888,NaN,14086,14246,14471,NaN,14557,14792,14957,15131,15306,15485,15627,15741,15960,NaN,16160,16322,16547,NaN,16632,16844,17007,17192,17348,17491,NaN,17692,17864,18078,NaN,18166
2183.1,2374,2542.2,2777.5,3264.5,3450.6,3618.1,3768.5,NaN,3946.8,4083.5,4231.8,NaN,4414.8,4522.2,NaN,4807.1,4954.3,5095.7,5282.4,5437.2,5567.7,NaN,5810.4,5948.9,6093.1,NaN,6281.2,6389.2,6587.5,6754.6,6908.7,NaN,7096,7244.1,7380.5,NaN,7571.1,7680.2,NaN,7973.1,8118.8,8256.4,NaN,8466.1,8571.9,8765.2,8919.7,9022.8,9248.6,9405.6,9560.2,NaN,9771.5,9913.4,10053,10275,10434,10543,NaN,10823,10973,11108,NaN,11299,11405,11610,11768,11876,NaN,12162,12312,12452,NaN,12644,12749,12970,13127,13265,13482,13645,13797,NaN,14039,14184,14332,NaN,14523,14642,14861,15040,15210,15347,15553,15704,15833,NaN,16115,16253,16406,NaN,16599,16708,16915,17085,17275,17426,NaN,17645,17792,17947,NaN,18131,18242
