n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n
2621.2,2734.4,3016.4,3109.3,3482.9,4099.3,4247.6,4395.4,4539.2,4679.4,4806.5,NaN,4994.5,5135,5345.4,NaN,5422.5,5611.6,NaN,5805.7,5947.4,6161.6,NaN,6245.8,6437.6,6588.9,6691.8,6878.7,NaN,7067.5,7212.4,7428.9,NaN,7513.9,7696.8,NaN,7891.1,8038,8249.6,NaN,8334.7,8514,8671.5,8776.8,8959.7,NaN,9152.3,9299.3,9523.9,NaN,9608.8,9797.1,NaN,9992.9,10142,10369,10519,10622,10836,10986,11096,11275,NaN,11469,11614,11848,NaN,11931,12115,NaN,12311,12462,12677,NaN,12767,12978,13137,13289,13434,NaN,13631,13784,14016,NaN,14097,14325,14485,14601,14788,NaN,14983,15144,15318,15607
2655.6,2832.5,3069.5,3382.6,3670.5,4153.1,4317.7,4472.8,4616.3,4753.3,NaN,4950.4,5095.2,5219.1,NaN,5396.8,5504.2,NaN,5760.1,5906.9,6038.2,NaN,6215.1,6327.3,6516.8,6662.2,6770.1,NaN,7023.3,7172.6,7297.6,NaN,7481.4,7591.4,NaN,7845.7,7992,8120.2,NaN,8302.4,8416.8,8594.2,8744.8,8856.8,NaN,9107.4,9254.6,9383,NaN,9574.4,9687.7,NaN,9947.3,10095,10227,10446,10589,10704,10908,11063,11176,NaN,11421,11573,11697,NaN,11901,12015,NaN,12266,12416,12548,NaN,12731,12846,13049,13217,13371,NaN,13587,13733,13871,NaN,14069,14182,14392,14566,14699,NaN,14937,15084,15229,15434,15668
