n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f
2098.1,2567.5,2749.6,2948.1,3161.8,3422.7,3601.6,3768.4,3921.2,4082.2,4246.9,4401.4,4562.1,4698.7,NaN,4885.7,5038.4,5188.6,NaN,5337.1,5541.9,NaN,5737.3,5890.8,6051.6,NaN,6199.6,6399.6,NaN,6596.2,6750.1,6910,NaN,7059.8,7281.3,NaN,7471.1,7629.6,7839,8001.1,8110.3,8309.6,NaN,8510.7,8666.2,8831.4,NaN,8983.7,9183.6,NaN,9386,9543.2,9770.5,NaN,9854.3,10063,NaN,10263,10431,10655,10810,10942,11132,NaN,11332,11503,11698,NaN,11848,12066,NaN,12264,12426,12592,12833,12986,13132,13279,13411,NaN,13610,13775,13945,NaN,14093,14298,NaN,14502,14671,14845,NaN,15008,15266,15432,15553,15754,NaN,15956,16116,16385,16539,16654,16884,17052,17176,17390,NaN,17592,17748,17909,NaN,18064
2136.1,2608.1,2797.5,2984.4,3203.9,3474.2,3659.3,3848.9,3997,4157.4,4323.3,4472.9,4633.2,NaN,4835.1,4982.9,5123.6,NaN,5307.8,5426.3,NaN,5685.9,5841.6,5978.3,NaN,6163.4,6293.2,NaN,6545.5,6695.9,6834.2,NaN,7022.9,7160.5,NaN,7423.9,7580.8,7717.9,7918.2,8074.9,8202.7,NaN,8461.1,8614.3,8752.7,NaN,8947.9,9080.8,NaN,9335.9,9486.1,9632,NaN,9821.7,9933.9,NaN,10209,10364,10514,10731,10884,11029,NaN,11285,11438,11590,NaN,11812,11944,NaN,12211,12373,12515,12706,12905,13063,13210,13355,NaN,13560,13707,13861,NaN,14055,14188,NaN,14450,14608,14758,NaN,14962,15104,15334,15510,15655,NaN,15904,16065,16205,16462,16614,16746,16958,17129,17271,NaN,17540,17698,17832,NaN,18024,18160
