n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2556.4,2720.2,2883.1,3048.2,3262.2,3416.7,3556.2,3704.5,3844.9,3987.7,4117.3,NaN,4302.8,4443.7,4654,NaN,4734.9,4919.2,NaN,5115.3,5261.4,5473.1,NaN,5558.8,5739.5,NaN,5934.1,6083.4,6297,NaN,6377.8,6568.6,6717.9,6825.9,7008.1,NaN,7193.9,7338.6,7554.2,NaN,7633.7,7816,NaN,8011.8,8158.1,8347.6,8493,8603.7,8785.9,NaN,8985.9,9137.3,9358.6,NaN,9444.2,9629.3,NaN,9824.8,9976.7,10138,NaN,10289,10472,10618,10730,10914,NaN,11111,11267,11433,NaN,11581,11793,11946,12057,12243,NaN,12441,12590
2605.4,2791.4,2946.4,3085.7,3306,3476.5,3634.6,3783.1,3924.6,4068.2,NaN,4258.2,4389.7,4526.6,NaN,4703.3,4804,NaN,5065.8,5197.7,5346.3,NaN,5523.2,5624.9,NaN,5881.8,6024.2,6167.6,NaN,6348,6450.3,6647.6,6790.4,6914,NaN,7150,7281.6,7422.1,NaN,7604.5,7706.3,NaN,7962.5,8103.4,8239.1,8423.7,8562.8,8697.6,NaN,8936.7,9084,9222.2,NaN,9411.3,9517.2,NaN,9780.9,9914.4,10059,NaN,10248,10381,10548,10693,10822,NaN,11065,11204,11352,NaN,11544,11671,11866,12017,12128,NaN,12397,12530,12672
