n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g
2966.9,3120.3,3321.6,3480.3,3642.1,3781.8,3935.8,4100.9,4242.1,4386.5,4500.9,NaN,4687.9,4828.6,5034.2,NaN,5115,5294.9,NaN,5480.4,5624.9,5835.8,NaN,5917.6,6100.2,NaN,6289.6,6435.6,6647.2,NaN,6725.6,6908.4,NaN,7098.5,7238.6,7455.7,NaN,7535.5,7717.1,NaN,7907.1,8049.8,8264.6,NaN,8345.9,8536.4,NaN,8728.6,8875.5,9092.5,NaN,9177.4,9361.4,NaN,9553.4,9700.3,9919.8,NaN,10002,10168,10317,10420,10597,NaN,10788,10942,11096,NaN,11253,11454,11606,11715,11911,NaN,12104,12253,12470,NaN,12558,12750,NaN,12944,13091,13294,NaN,13396,13597,13747,13853,14037,NaN,14238,14400,14559,NaN
3007,3161.9,3358.4,3532.9,3693.5,3833.5,3993.3,4164.3,4319.6,4463.3,NaN,4647,4788.6,4910,NaN,5082.4,5194.8,NaN,5439.6,5581,5708.5,NaN,5888.3,5995.7,NaN,6246.9,6393.4,6523,NaN,6696.2,6803.4,NaN,7054.8,7194.8,7317.4,NaN,7506.3,7613.6,NaN,7861.7,8007.3,8131,NaN,8316.4,8431.4,NaN,8682.9,8830.4,8960.4,NaN,9144.7,9257,NaN,9508.8,9655.7,9789.2,NaN,9970.5,10080,10244,10389,10494,NaN,10743,10892,11025,NaN,11209,11348,11528,11686,11798,NaN,12059,12209,12339,NaN,12525,12639,NaN,12900,13043,13178,NaN,13365,13474,13668,13824,13937,NaN,14189,14346,14484,NaN,14674
