n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1982.9,2136.8,2285.6,2431.7,2587.1,2730.7,2874.6,2984.7,NaN,3168.7,3317.3,3528.5,NaN,3610.1,3791.4,NaN,3984.7,4130.2,4351,NaN,4431,4617.3,NaN,4812.1,4963,5141.2,5291,5391.7,5582,NaN,5774.4,5926.6,6143.4,NaN,6229,6416.7,6566.4,6673.3,6862.4,NaN,7056.6,7204.2,7408.4,7555.6,7662.3,7849.3,NaN,8046.4,8202,8356.8,NaN,8501.9,8713.9,8870.9,9016.7,9123.6,NaN,9320.9,9469.1,9685.3,NaN,9769,9971.9,NaN,10170,10335
2035.4,2188.5,2326.9,2495.2,2657.6,2803.2,2944.6,NaN,3121,3256.5,3396.3,NaN,3577.8,3680.1,NaN,3938.7,4080.4,4211.9,NaN,4398.4,4504.3,NaN,4764.3,4908.3,5045.4,5213,5360.8,5467.4,NaN,5729.5,5870.9,6011.8,NaN,6194.3,6296.4,6492.7,6637.9,6760.8,NaN,7007.2,7144.6,7286.5,7485.8,7628.6,7733.7,NaN,7998.8,8140.6,8280.3,NaN,8466.1,8589,8787.4,8946.4,9091.8,NaN,9265.1,9412.3,9552.6,NaN,9735.5,9842.5,NaN,10122,10260,10418
