n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2712.2,2858.7,3007.5,3157.6,3296.4,3436.9,3548.6,NaN,3730.7,3869.4,4079.8,NaN,4157.8,4340.7,NaN,4530.3,4671.2,4865.3,NaN,4959.8,5146.1,NaN,5332.3,5475.9,5688.7,NaN,5770.7,5960.4,NaN,6150.9,6297.6,6501.4,NaN,6593.5,6787.8,NaN,6974.2,7118.8,7335.3,7480,7582.1,7771.2,NaN,7957.2,8105.4,8297.7,NaN,8400.8,8594.5,NaN,8782.7,8932.4,9156.3,NaN,9237.6,9432.8,NaN,9627.4,9773.5,10004,NaN,10084,10288,10441,10584,10728,10848,NaN,11038,11188,11408,NaN,11491,11686,NaN,11878,12031,12246,12389,12490,12686,NaN,12879,13035
2759.3,2918.3,3082.5,3232.6,3368.5,3514.8,NaN,3680.2,3829.1,3952.7,NaN,4129.6,4232.5,NaN,4483.7,4627.7,4755.8,NaN,4930.2,5039.1,NaN,5288,5435.1,5558.5,NaN,5737.9,5847.6,NaN,6106.4,6248,6380,NaN,6564,6669.7,NaN,6929.7,7075,7204.2,7409.8,7547.2,7662.8,NaN,7914.5,8066.1,8190.9,NaN,8372.9,8478.3,NaN,8735.3,8888.2,9017.1,NaN,9207,9307.1,NaN,9582.6,9731.5,9859.3,NaN,10053,10158,10358,10522,10664,10808,NaN,10993,11146,11270,NaN,11461,11572,NaN,11835,11987,12114,12324,12463,12568,NaN,12833,12984,13122
