n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2654.4,2962,4629,4761.8,4906.9,5047,5190.5,5330.1,5463.2,5606,5714.2,NaN,5893.1,6033.5,6241.7,NaN,6320.1,6499.8,NaN,6688.5,6829.1,7029.4,NaN,7116.8,7304.7,NaN,7493.9,7642.3,7850.2,NaN,7930.7,8110.4,8260,8364.9,8543,NaN,8733,8881.4,9096.1,NaN,9177.9,9371,NaN,9560,9704.2,9918.3,NaN,9998.1,10180,NaN,10372,10520,10721,10869,10976,11159,NaN,11350,11497,11708,NaN,11790,11988,NaN,12178,12322,12539,NaN,12620,12800,12943,13061,13243,NaN,13438,13589,13799,NaN,13881,14072,NaN,14267,14419,14635,NaN,14719,14904,15055,15159,15351,NaN,15546,15696
2857.9,3163.7,4662.4,4821.8,4980.9,5118,5261.7,5397.6,5533.4,5673.5,NaN,5837.6,5983,6112.9,NaN,6286.2,6381.8,NaN,6639.8,6780.5,6914.9,NaN,7085,7189,NaN,7443.1,7585,7726.1,NaN,7897.6,8001.3,8185.8,8331.7,8431.2,NaN,8688.8,8827,8963.8,NaN,9144.7,9247,NaN,9515.4,9648.5,9788.2,NaN,9965.5,10078,NaN,10324,10471,10600,10797,10940,11067,NaN,11305,11438,11580,NaN,11757,11861,NaN,12132,12269,12403,NaN,12586,12692,12873,13015,13156,NaN,13389,13537,13670,NaN,13847,13951,NaN,14219,14365,14501,NaN,14684,14790,14982,15124,15249,NaN,15497,15649,15780
