n,n,n,n,n,n,t,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n
2125.1,2286.8,2432.3,2575.6,2720.6,2866.9,3007.4,3075.8,NaN,3192.7,3335.2,3549.7,NaN,3629.5,3810.8,NaN,3998,4145.7,4357.9,NaN,4436.4,4613,4761.9,4875.3,5054.2,NaN,5247.8,5389.6,5550.3,NaN,5695.5,5881.6,NaN,6070.7,6216.3,6372.4,NaN,6517.4,6706.4,NaN,6900.9,7046.5,7211.1,NaN,7360.9,7548.3,NaN,7739.8,7882.6,8106.6,NaN,8187.3,8371.2,NaN,8565.6,8717.8,8936.8,9094.1,9205.6,9394.4,NaN,9589.5,9739.5,9956.8,NaN,10040,10247,10396,10508,10692,NaN,10887,11038,11237,11392,11502,11684,NaN,11879,12032,12478,12622,12733,12917,NaN,13109,13262,13420
2166.6,2345.6,2500,2645.5,2794.6,2944.2,3044.5,NaN,3135.6,3291.1,3415.2,NaN,3599.2,3702.8,NaN,3953.6,4098.9,4227.2,NaN,4406.6,4510.8,4688.7,4832.2,4964.9,NaN,5201.2,5344.4,5472.5,NaN,5657,5791.8,NaN,6025.3,6175.9,6298.1,NaN,6482,6611.1,NaN,6853.5,7003.9,7132.8,NaN,7324.2,7455.9,NaN,7695.2,7842.2,7965.9,NaN,8152.9,8264.9,NaN,8520,8671.4,8804.8,9012.6,9168.9,9297.2,NaN,9542.7,9693.1,9823.2,NaN,10009,10116,10319,10469,10603,NaN,10839,10994,11122,11315,11465,11596,NaN,11836,11983,12116,12545,12697,12814,NaN,13062,13215,13348,13532
