n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1983.1,2113.2,2260.1,2414.2,2564.1,2711.1,2859.3,2977.5,NaN,3162.6,3304.5,3511.3,NaN,3588.8,3769.8,NaN,3958.5,4100.4,4252.8,NaN,4392,4586.5,4731.3,4835.1,5011,NaN,5199.7,5343.5,5551.7,NaN,5636.8,5829.5,NaN,6020.6,6163.9,6323.3,6477.9,6577.4,6760.3,NaN,6950.3,7094.2,7290.8,7433.6,7539,7723.5,NaN,7915.9,8061.8,8272.9,NaN,8354.8,8544.2,NaN,8737.4,8888.5,9099.4,NaN,9180.7,9361.7,NaN,9556.5,9705.2,9921.2,NaN,10005,10192,NaN,10384,10538,10752,NaN,10838,11025,NaN,11217,11360,11563,11709,11812,11994,NaN,12190,12347,12495,12654,12769,12958,NaN,13156,13320,13536,NaN,13620,13811,NaN,14006,14160
2021.8,2164.3,2323.9,2474.2,2630,2784.2,2932,NaN,3119.8,3251.8,3384.1,NaN,3557.8,3657.8,NaN,3915.9,4050.8,4174.7,NaN,4355.8,4479.2,4660.5,4802.5,4901.9,NaN,5156.9,5284.4,5422.9,NaN,5603.8,5710.7,NaN,5974.6,6106.1,6243.8,6404.4,6547,6657.7,NaN,6904.7,7038.6,7175.9,7368,7507,7610,NaN,7871.7,8004.6,8137.9,NaN,8320.5,8425.6,NaN,8694.2,8829,8971.7,NaN,9148.1,9249.3,NaN,9509.5,9650.6,9783.8,NaN,9971.6,10074,NaN,10339,10479,10619,NaN,10803,10921,NaN,11172,11303,11440,11636,11779,11884,NaN,12146,12284,12432,12573,12728,12868,NaN,13110,13231,13398,NaN,13587,13696,NaN,13962,14102,14243
