n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1966.3,2150.8,2339.3,2492.8,2651.1,2798.9,2916.1,NaN,3105.1,3249.6,3463,NaN,3549.6,3734.8,NaN,3927.6,4076.3,4292.9,NaN,4378.8,4557.7,4718.9,4826.2,5010.5,NaN,5202.4,5355.7,5540.6,5691.5,5799.7,5983.9,NaN,6183.4,6337.1,6539.5,6686.8,6829.7,6984.7,NaN,7184.8,7331.2,7539.5,NaN,7638.2,7832.3,NaN,8030.6,8187.4,8410.8,NaN,8494.7,8687.8,NaN,8886.7,9039.8,9288.3,NaN,9369.8,9558.8,NaN,9760.3,9927.3,10165,10311,10457,10587,NaN,10787,10942,11163,NaN,11251,11454,NaN,11650,11824
2011.1,2195.5,2398.7,2550.3,2724.8,2873.8,NaN,3056.3,3203.6,3339.2,NaN,3516.1,3619.9,NaN,3880.8,4028.3,4163,NaN,4345.2,4451.4,4632.2,4792.4,4897.9,NaN,5155.5,5302.5,5443.3,5615.5,5764.8,5876.2,NaN,6133.4,6289.3,6421.5,6621.4,6761.9,6866.2,NaN,7134.1,7285.7,7418.8,NaN,7605.7,7711.9,NaN,7982,8130.6,8273.7,NaN,8465.6,8570.1,NaN,8836.7,8995.2,9126.3,NaN,9339.9,9449.8,NaN,9710.3,9842.3,9960.8,10235,10390,10531,NaN,10737,10893,11028,NaN,11216,11327,NaN,11602,11747,11898
