n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1993.2,2262.2,2465.7,2699.8,2887.2,3036.5,3185.9,3334.8,3450.9,NaN,3635.6,3779.6,3994.1,NaN,4074.2,4265.4,NaN,4453.4,4604.4,4815.6,NaN,4935.4,5074.4,NaN,5268.3,5423.1,5634.1,NaN,5714.5,5895.6,6051,6160.5,6352.1,NaN,6544.6,6694.4,6903,7054.9,7156.9,7351.6,NaN,7541.4,7691.2,7891,NaN,7985.4,8170.2,8326.3,8472.5,8598,NaN,8788.5,8935.5,9119.6,9276.2,9385.9,9582,NaN,9775.4,9920.7,10136,NaN,10216,10416,NaN,10609,10761,11285,11431,11540,11719,NaN,11913,12055,12274,NaN,12354,12544,NaN,12737,12900,13126,NaN,13210,13412,13569,13680,13935,14111,14222,14408,NaN,14603,14756,14908,NaN,15066,15296,NaN,15491,15654
2104,2309.4,2503.8,2748.6,2939.6,3099.3,3259.2,3409.1,NaN,3587.2,3733.8,3860.7,NaN,4044.2,4148.4,NaN,4405.7,4552.9,4684.4,NaN,4866.6,4971.8,NaN,5219,5367.6,5504.2,NaN,5685.9,5794.4,5973.2,6123.8,6248.2,NaN,6499.3,6648.4,6776.5,6976,7125.4,7231.9,NaN,7495.6,7641.2,7771.7,NaN,7956,8062,8245,8403.1,8550.6,NaN,8743.2,8890.2,9019.3,9197.5,9351.4,9460.9,NaN,9728.8,9877.7,10006,NaN,10188,10288,NaN,10563,10713,10841,11357,11504,11640,NaN,11870,12014,12139,NaN,12326,12430,NaN,12690,12836,12985,NaN,13179,13290,13489,13644,13771,13994,14185,14311,NaN,14556,14705,14841,NaN,15026,15166,NaN,15447,15594,15735
